question,answer
"A 65-year-old woman underwent a biopsy from a 5 cm vestibular tumor on her right lip.
On PET-CT, inguinal and vaginal glands were observed and enlarged to about 3-4 cm.
What is the next step in treatment?
A. Radiation therapy for the tumor in the groin and pelvis, followed by surgery to remove the rest of the tumor and the glands.
B. Excision surgery of vulvar cancer and radiation therapy to the glands in the groin and pelvis.
C. Excision surgery of vulvar cancer, excision of the glands in the groin, and postoperative radiation therapy to the groin and pelvis.
D. Excision surgery of vulvar cancer, excision of the glands in the groin and pelvis, and radiation therapy after the surgery to the groin and pelvis.
",D
"What is included in the Enhanced Recovery After Surgery (ERAS) protocol?
A. Fast at least 6 hours before surgery.
B. Before surgery, with a high probability of resection and bowel resection, bowel preparation must be performed by emptying.
C. PCA (Patient Controlled Analgesia) should be used to treat pain after surgery.
D. In surgery lasting more than 3 hours, 500 ml of crystalloids must be given for each additional hour of surgery.
",C
"A 26-year-old female patient is referred for surgical resection of a complex ovarian cyst of 7 cm, mostly clear, with a septum and papillary projection of 7 mm. The cyst has been known for 6 months. What is the next step in case management?
A. Administering pills and performing a repeat ultrasound examination in 6 months.
B. Laparoscopic excision of the cyst and its removal in a bag.
C. Draining the cyst under US guidance and sending the fluid for cytology.
D. Laparoscopic surgery and entering the cyst cavity with the laparoscope to discover or rule out malignancy signs.
",B
"A 17-year-old girl is referred to the emergency room due to two-day history of left abdominal pain and suspicion of ovarian torsion. In her history, the girl has been under follow-up for 3 months due to a simple ovarian cyst on the left with a diameter of 7 cm. On Laparoscopy, left ovarian torsion was observed twice, black in color, without possibly identifying an ovary. The situation has not changed since allowing the release of ovarian torsion. What is the next step during the surgical procedure?
A. Try to identify and cut the fallopian tube only.
B. Identify the cyst and remove it.
C. Release of ovarian torsion without further intervention.
D. Cut out the ovary without identifying findings.
",C
"A 38-year-old female patient was referred for excision of type 2-5 myoma with a diameter of 8 cm before continuing with in vitro fertilization treatments.
What is the correct consideration in choosing the surgical approach: open, endoscopic, robotic approach in relation To the success of in vitro fertilization treatments?
A. In terms of the improvement in fertility, there is no difference between the various surgical techniques, but the recovery is faster, and the rate of Complications is lower in endoscopic surgeries.
B. The improvement in fertility is greater in laparotomy, but the rate of surgical complications is greater in laparotomy, and there is faster recovery in endoscopic surgeries.
C. The improvement in fertility is greater in endoscopic surgeries, especially in robotic surgeries.
D. The consideration of fertility is secondary since a laparotomy must be performed - since a myoma of this size must be removed from the abdominal cavity requires a laparotomy.
",A
"What is the risk of molar pregnancy after successful combined chemotherapy treatment in a woman with GTN?
A. 1%.
B. 5%.
C. 10%.
D. 25%.
",A
"What may be damaged when fixing the vaginal dome to the Sacrospinous ligament?
A. Sacral nerve S3-4.
B. The pudendal nerve.
C. Superior gluteal artery.
D. External pudendal artery.
","A,B"
"What is found in the Bacterial Vaginosis test, and culture of a woman who comes with symptoms of increased secretions and meets the criteria for Desquamative Inflammatory Vaginitis?
A. Proliferation of parabasal cells, proliferation of leukocytes, and proliferation of Gram-positive bacilli.
B. Proliferation of clue cells and proliferation of leukocytes, and gram-negative cocci culture.
C. Proliferation of parabasal cells and inflammatory cells in gram-positive cocci culture, usually streptococci.
D. Proliferation of neutrophils and identification of diplococci (gonococcal).
",C
"A female patient was admitted due to three painful ulcerated lesions on the labia majora on the right side. In testing: The ulcer is very sensitive to touch, and inguinal lymphadenopathy is sensitive to palpation. What is the most likely clinical diagnosis?
A. Herpes.
B. Syphilis.
C. Chancroid.
D. Genital warts.
",C
"A woman before a laparoscopic hysterectomy due to benign uterine pathology wishes to consider a subtotal hysterectomy vs. a total hysterectomy.
What is the difference between the two surgeries in this case?
A. Subtotal hysterectomy has the advantage of preserving sexual function.
B. After a subtotal hysterectomy, there is a 1%-2% chance of repeat surgery for cervicectomy.
C. In subtotal hysterectomy, there is a significant reduction in the risk of urinary incontinence symptoms.
D. In subtotal hysterectomy, there is a lower chance of symptoms of constipation.
",B
"Which index was found to be the most significant predictor of the possibility of completing a hysterectomy with a vaginal approach?
A. The patient's weight.
B. Pubic arch angle.
C. Location and length of the cervix.
D. Previous pelvic surgeries.
",B
"What characterizes the pathogenesis of fibroids?
A. In half of fibroids it is possible to identify a translocation in chromosome 22.
B. Polyclonal tumors that develop from a large number of parent cells.
C. Progesterone does not encourage the appearance and proliferation of fibroids.
D. Growth factors such as beta-TGF or bFGF are overexpressed in fibroblasts.
",D
"What is the correct description for fibroid classification and location according to FIGO?
A. Type 0 - pedunculated - inside the uterine cavity or pedunculated protrudes into the abdominal cavity.
B. Type 2 - pedunculated into the uterine cavity by less than 50% of its diameter.
C. Type 4 - all in the myometrium but reaches the endometrium or serosa.
D. Type 7 - more than 50% of its diameter protrudes from the serosa.
",B
"What is considered a contraindication to treating fibroids by embolizing the uterine arteries?
A. Uterine insufficiency.
B. Heart failure due to rheumatic disease.
C. A multifarious uterus the size of about 20 weeks of pregnancy.
D. A fundal fibroid with a diameter of 10 cm, far from the uterine arteries.
",A
"Which of the following is a protective factor against endometriosis?
A. Smoking.
B. Nulliparity.
C. Increase in BMI.
D. A diet rich in protein.
","A,C"
"What is the expected increase in B-HCG levels within 48 hours in a normal intrauterine pregnancy?
A. At least 50% if the initial ־²HCG level is less than 1,500 mIU /ml.
B. At least 60% if initial ־²HCG level 1,500-3,000 mIU /ml.
C. At least 70% if the initial ־²HCG level is greater than - 3,000 mIU /ml.
D. At least 80% regardless of initial ־²HCG level.
",A
"A 34-year-old woman was referred in the 6th week of her pregnancy due to bloody discharge. No intrauterine or ectopic pregnancy was observed on ultrasound.
B-HCG tracking demonstrates a 40% increase in values by 48 hours.
At what threshold value of B-HCG will medical treatment be given for ectopic pregnancy without a sonographic diagnosis of the location of pregnancy?
A. 1000 mIU/mL.
B. 1500 mIU/mL.
C. 2500 mIU/mL.
D. 3500 mIU/mL.
",D
"A healthy 55-year-old woman has suffered from an increased frequency of urination and occasional urinary urgency with leakage for several years. Physical and gynecological examinations are normal.
What is the necessary test for establishing an initial diagnosis and adjusting treatment?
A. TIP-Q test.
B. General urine test and culture.
C. Urinary tract ultrasound.
D. Urodynamics.
",B
"What is the possible measurement range for the Ba point according to the POP Q method when the TVL value is 8 cm?
A. Between -3 cm and +3 cm.
B. Between -3 cm and +8 cm.
C. Between -8v and +3 cm.
D. Between -5 cm and +5 cm.
",B
"A 40-year-old female patient presented due to prolapse. In her examination the following POP Q values:
Aa: -3cm.
Ba: -3cm.
C: +2cm.
D: -8cm.
Ap: -3cm.
Bp: -2cm.
TVL: 8cm.
What is the diagnosis?
A. STAGE 1 CYSTOCELE.
B. STAGE 2 RECTOCELE.
C. STAGE 3 UTERINE PROLAPSE.
D. STAGE 3 CERVICAL ELONGATION.
","C,D"
"A female patient suffers from STAGE 3 pelvic organ prolapse.
A Cuboid Pessary was fitted since she was not interested in surgical repair.
What should be the frequency of removing and cleaning the Pessary?
A. Every day.
B. Once a week.
C. Once a month.
D. Once every two months.
",A
"A 30 year old has had amenorrhea for 12 months. The level of FSH in her blood is 78 units/liter, and estradiol is 35 picomoles/liter. Which test should she be referred to in order to establish a diagnosis of Premature Ovarian Autoimmune Insufficiency (POI)?
A. To test for antibodies of the Anti 21-Hydroxylase/Anti Adrenal.
B. For ovarian biopsy.
C. Anti-Ovarian Antibodies for testing.
D. Anti-Thyroid Peroxidase/Anti-Thyroglobulin type of antibodies for testing.
",A
"Which cytotoxic drug has the highest genotoxic potential?
A. Bleomycin.
B. Vincristine.
C. Busulfan.
D. Cisplatin.
",C
"Mutations in the G- Protein system can cause genetic diseases.
Of the following, which is the correct combination of mutation and clinical condition?
A. A mutation in the Activating LH receptor will cause male pseudohermaphroditism.
B. A mutation in Gia (stimulatory) will cause hypothyroidism.
C. A mutation in the Inactivating FSH receptor will cause Premature ovarian failure.
D. A mutation in Rhodopsin will cause Diabetes insipidus.
",C
"What is the pathogenesis of  Congenital lipoid adrenal hyperplasia?
A. An autosomal dominant disease resulting from a gene mutation located on chromosome 6.
B. A disease caused by a mutation in the protein gene to the Steroidogenic Acute Regulator (StAR) protein.
C. A disease resulting from a combined deficiency of 3B- hydroxysteroid dehydrogenase and  17c450P.
D. Hereditary disease in which the steroidogenesis process is defective/missing in the adrenal gland and normal in the ovary.
",B
"Which of the following contains the highest amount of triglycerides?
A. VLDL.
B. IDL.
C. LDL.
D. HDL.
",A
"What is the structural difference between OXYTOCIN and VASOPRESSIN-ARGININE?
A. One amino acid in position 2.
B. Two amino acids in positions 3 and 8.
C. Three amino acids in positions 1, 4, 6 and 9.
D. At the position of the bisulfite bridge within the molecule.
",B
"What characterizes the amplitude and frequency of the LH pulses during the menstrual cycle?
A. Maximum amplitude in the mid-luteal phase with the highest frequency in the follicular phase, the early one.
B. The lowest amplitude in the mid-follicular phase, with the highest frequency in the luteal phase, is the late one.
C. Maximum amplitude in the early luteal phase with the lowest frequency in the luteal phase, the late one.
D. The lowest amplitude in the mid-follicular phase with the lowest frequency in the phase.
The late follicular.
",C
"What are the pinopodes in the rooting process?
A. Structures that appear on the stromal cells of the endometrium.
B. Structures appearing on flat epithelial cells without microvilli.
C. Structures that adhere to the blastocyst before fertilization.
D. Cellular structures that appear on day 15 and disappear on day 20 of the menstrual cycle.
",B
"When, for the first time, could messenger RNA to create hCG be detected in the human fetus?
A. After the fertilization of the blastocyst.
B. At the stage of about 100 cells.
C. In the morula stage.
D. At the 6-8 cell stage.
",D
"What is the reaction that the enzyme 21  Hydroxylase catalyzes?
A. 11-Deoxycortisol to cortisol.
B. Deoxycorticosterone to corticosterone.
C. Deoxycortisol-11 to 17-OH-Progesterone.
D. Progesterone to 17-OH-Progesterone.
",C
"A 25 year old has a history of PCOS and a BMI of 30. Her last menstrual period was two months before her application. In a sonographic examination, the endometrium is 10 mm, the ovaries are without a primary follicle. She has a Low blood estradiol level and low progesterone level.
What causes the endometrium to reach this thickness?
A. Estradiol from aromatization of DHEA.
B. Estrone from androstenedione aromatization.
C. DHEA aromatization estriol.
D. Estradiol from aromatization of androstenedione.
",B
"What characterizes the LH in women with PCOS compared to women with regular ovulation?
A. There is an increase in the frequency and amplitude of LH secretion.
B. The biological activity of LH is lower.
C. The common LH isoform in women is more acidic.
D. In these women, the level of LH secreted in response to GnRH is less.
",A
"What is the effect of increased insulin levels on the level of androgens and SHBG in women with PCOS?
A. Increase in androgen production in granulosa cells and decrease in SHBG production.
B. An increase in the production of androgens in granulosa cells and an increase in the production of SHBG.
C. Decrease in androgen production in theca cells and decrease in SHBG production.
D. Increase in androgen production in theca cells and decrease in SHBG production.
",D
"What meets the definition of Metabolic Syndrome?
A. Waist circumference: 78 cm, blood pressure: 145/92, triglycerides: 128, fasting sugar: 90, HDL level: 62.
B. Waist circumference: 90 cm, blood pressure: 130/85, triglycerides: 132, fasting sugar: 96, HDL level: 58.
C. Waist circumference: 78 cm, blood pressure: 135/82, triglycerides: 160, fasting sugar: 110, HDL level: 40.
D. Waist circumference: 90 cm, blood pressure: 135/80, triglycerides: 140, fasting sugar: 95, HDL level: 55.
",C
"A 25 year old has oligomenorrhea, acne, fatigue, muscle pains, and a recently discovered hypertension. What test should be completed for the diagnosis?
A. Dexamethasone test.
B. HOMA -IR test.
C. DHEA level.
D. Thyroid antibodies.
",A
"Which of the following situations is a reason for recurrent miscarriages?
A. Increased in the level of Antithrombin 3.
B. Factor 7 is reduced.
C. Factor 10 is increased.
D. Increased antiplasmin.
",C
"A sample of which of the following is the most reliable for PGT-A (Preimplantation Genetic Testing?).
A. First polar body.
B. Second polar body.
C. Blastomere.
D. Trophectoderm.
",D
"Which of the following conditions is an absolute contraindication to the use of Depo Provera as a contraceptive?
A. Liver adenoma that developed while using birth control pills.
B. Epilepsy.
C. Sickle cell anemia.
D. Three or more proven cases of pelvic inflammatory disease (PID).
",A
"Which contraceptive has the lowest expected failure rate?
A. Sponge with spermicide.
B. Diaphragm with spermicide.
C. Female condom.
D. Male condom.
","B,D"
"Which of the following amenorrhoeic women will not respond to treatment with a GnRH pump to achieve ovulation?
A. A woman with hyperprolactinemia.
B. A woman with long-term GnRH agonist treatment for endometriosis.
C. A woman with PCOS.
D. A woman with amenorrhea due to intense physical activity.
",B
"What is the characteristic of ovulation induction treatment in women with PCOS using letrozole compared to clomiphene Citrate treatment?
A. A lower rate of abortions.
B. A higher rate of multiple pregnancies.
C. Progesterone levels are higher in the luteal phase.
D. Similar ovulation rates after five treatment cycles.
",C
"What is the expected outcome of the induction of menstrual bleeding using progesterone in women with PCOS and amenorrhea who will start treatment with clomiphene citrate compared to starting treatment without menstruation?
A. Shortening the period to achieve ovulation.
B. Increasing pregnancy and birth rates.
C. Extending the time to achieve pregnancy.
D. Help to achieve a thicker endometrium during the treatment.
",C
"Which of the following gonadotropins is not suitable for inducing single follicle ovulation in women with PCOS?
A. Corifollitropin alfa.
B. Follitropin alfa.
C. Follitropin beta.
D. HMG.
",A
"Which of the following gonadotropins is produced in a human cell line?
A. Corifollitropin alfa.
B. Follitropin alfa.
C. Follitropin beta.
D. Follitropin delta.
",D
"How do dopamine agonists induce ovulation in women with hyperprolactinemia?
A. They suppress the production and secretion of estradiol, which leads to an increase in the secretion of FSH.
B. Influence the pituitary to secrete LH+FSH through VEGF receptors.
C. Stimulate the secretion of GnRH from the hypothalamus following the removal of inhibition by prolactin.
D. Release the GnRH receptors in the pituitary occupied by prolactin.
",C
"Which of the following women have an increased incidence of endometriosis?
A. Women with regular physical activity.
B. Women who consume large amounts of coffee.
C. Women who smoke heavily.
D. Women with BMI bigger than 30.
",B
"What characterizes macrophage cell activity in women with endometriosis?
A. The presence of macrophages in the peritoneal fluid is unique to the state of endometriosis.
B. A decrease in VEGF secretion from macrophages contributes to the formation of fibrosis and adhesions in the pelvis.
C. A decrease in the secretion of IL-8 suppresses the response of macrophages to ectopic endometrium.
D. Increase in TNF secretion inhibits macrophage function in response to ectopic endometrium.
",D
"Which of the following hormonal profiles characterizes a man diagnosed with Young's syndrome?
A. Low FSH and LH, low testosterone, low prolactin.
B. High FSH and LH, testosterone is normal, prolactin is normal.
C. High FSH and LH, testosterone is low, prolactin is high.
D. Normal FSH and LH, testosterone is normal, prolactin is normal.
",D
"How does a man's aging affect his fertility?
A. There is no change in the morphology of the sperm cells.
B. Decrease in FSH levels.
C. Decrease in flow volume.
D. Decrease in the concentration of sperm cells.
",C
"Which of the following does not impair male fertility in the presence of a large varicocele?
A. Hypoxia and stasis.
B. Delay in the descent of the testicle in fetal life.
C. An increase in the temperature of the testicle.
D. Delay in the removal of toxins from the testicle.
",B
"What is the most likely diagnosis of a man who is repeatedly tested with high gonadotropin levels and low testosterone?
A. Prolactin secreting tumor.
B. Kalman syndrome.
C. Testicular failure.
D. Congenital Bilateral Absence of Vas Deferens.
",C
"What is the gene responsible for the differentiation of gonads into testes?
A. SOX9.
B. DAXI.
C. BMP15.
D. CYP26B1.
",A
"A one-day-old girl was found with mild virilization of the external genitalia. An ACTH test was performed which found a high level of 17 alpha hydroxypregnenolone.
What is the most likely enzymatic disorder?
A. 3 beta OH dehydrogenase.
B. 21 hydroxylase.
C. 17 beta OH dehydrogenase.
D. 11 beta hydroxylase.
",A
"A girl with a hormonal profile as described:
FSH 2 IU/L LH 2 IU/L ESTRADIOL -30pg/ml DHEAS 50 ng/dL.
What tanner stage is she at?
A. Tanner 1.
B. Tanner 2.
G. Tanner 3.
D. Tanner 4.
",B
"A 4-year-old girl is examined due to an incident of vaginal bleeding. In her examination, her breasts are Tanner 2. Pubic hair is Tanner 1.  She has a low gonadotropin level and a low estradiol level. What is the most likely diagnosis?
A. McCune-Albright syndrome.
B. Functional ovarian follicular cysts.
C. Granulosa cell tumor.
D. Gonadoblastoma.
","A,B,C,D"
"What is the effect of menopausal estrogen therapy on the lipid profile?
A. Increases the amount and activity of lipoprotein receptors.
B. Increases levels of lipoprotein(a).
C. Reduces Triglycerides levels.
D. Reduces catabolism of LDL.
","A,C"
"What constitutes an advantage of adding androgens to menopausal women treated with HRT?
A. Reducing the incidence of breakthrough bleeding.
B. Reducing the frequency and intensity of heat waves.
C. Beneficial effect on bone density.
D. Beneficial effect on the lipid profile.
",C
"A 37-year-old is facing the start of an IVF cycle due to mechanical infertility.
Which of the following measures has the highest sensitivity for predicting the retrieval of fewer than four oocytes?
A. AFC = 7.
B. 0.5 ng/mL = AMH.
C. FSH= 11 IU/L 11 on day 3 of the menstrual cycle.
D. Estradiol = 300 pMol/L on day 3 of the menstrual cycle.
",B
"A 38-year-old is undergoing an IVF treatment cycle with a long agonist protocol.
12 follicles with a diameter of 18-20 mm were suctioned, without pelvic fluid. No eggs are found in the follicular fluid test. What explains the absence of eggs?
A. Injection of the trigger 38 hours before pumping.
B. Using the DECAPEPTYL trigger at a dose of 0.2 mg.
C. Use of rhCG in a reduced dose (125 micrograms).
D. Use of uhCG in a reduced dose (5000 units).
",B
"What is the first histological change observed in the endometrium after ovulation?
A. Ciliogenesis around gland openings.
B. Hematopoietic cell appearance.
C. Stromal cell cytonuclear enlargement.
D. Subnuclear glycogen vacuole appearance.
",D
"What does FSH surge cause during the menstrual cycle cause?
A. Compression of the cumulus cells in the follicle.
B. An increase in OMI (oocyte maturation inhibitor) level in the follicle.
C. Increase in the level of plasminogen activator in the follicle.
D. Decreased expression of LH receptors in the follicle.
",C
"Which of the following is not associated with an increase in FSH secretion during the late luteal phase?
A. Decrease in the level of INHIBIN A in the blood.
B. An increase in the frequency of GnRH secretion.
C. A decrease in the level of progesterone in the blood.
D. Increase in the level of INHIBIN B in the blood.
",D
"A Transgender female receives treatment with estrogen. What is the serum estradiol level that is the treatment goal?
A. 50 Picogram/ml.
B. 150 Picogram/ml.
C. 350 Picogram/ml.
D. 450 Picogram/ml.
",B
"Which of the following will help to treat male Transgender until masculinization is achieved?
A. Spironolactone.
B. Finasteride.
C. Leuprolide acetate.
D. Estradiol Valerate.
",C
"What is the main reason for using ethinyl estradiol instead of natural estradiol In Combined birth control pills?
A. Natural estradiol activity is poor when given together with progestin.
B. Natural estradiol has more side effects.
C. Ethinyl estradiol is metabolized in the liver, unlike estradiol.
D. Natural estradiol has poor activity when administered orally.
",D
"How will a mutation in the LH receptor affect the development of the female reproductive system?
A. Fetal theca cells will not synthesize androgens.
B. The baby will be born with ovarian cysts.
C. The uterus, fallopian tubes, and the upper third of the vagina will not develop properly.
D. There will be no effect on fetal life.
",D
"What is the purpose of testing polymorphic markers during PGT-M? (Preimplantation Genetic Testing for Monogenic Disorders).
A. To enable the diagnosis of more than one mutation.
B. To enable the diagnosis of new mutations (novo-de).
C. Check for aneuploidy/aneuploidy.
D. Reduce the risk of misdiagnosis.
",D
"A 30-year-old woman and a 35-year-old man with a pre-mutation to fragile x (180 repeats) request a pre-implantation examination. What is the most appropriate genetic diagnostic technique in this case?
A. The pre-mutation test and polymorphic markers in the blastocyst.
B. Testing the mutation and polymorphic markers in a 3-day-old fetus.
C. The pre-mutation test and markers for the X chromosome.
D. Diagnosis of the sex of the fetus only.
",D
"What constitutes a bad prognostic marker for complications for the mother and the fetus in the case of placental abruption?
A. Placenta previa.
B. Finding of subchorionic hematoma in ultrasound.
C. Low levels of fibrinogen.
D. Increased level of AFP (fetal protein) in the screening of the second trimester.
",C
"At week 34 of her pregnancy, a woman is preparing for her fifth birth. She has had 4 cesarean sections in the past and is currently pregnant and was diagnosed with a placenta previa. She is arriving due to bloody urine. On admission, she was in good general condition and had normal vital signs. Urine culture is normal. In urinalysis and urine sediment microhematuria is detected. What is the next step in management?
A. Cystoscopy.
B. US Doppler or MRI.
C. Cystography.
D. Kleihauer-Betke test.
",B
"Which of the following Uterotonic drugs has the shortest response time?
A. Misoprostol in oral administration.
B. Methylergonovine (Methergine) intramuscular.
C. Prostaglandin F2 (Hemabate) intramuscularly.
D. Misoprostol in rectal administration.
",B
"What are the expected metabolic changes in the fetus with IUGR (intrauterine growth retardation)?
A. An increase in the amount of ammonia in the amniotic fluid.
B. An increase in the amount of essential amino acids in the fetal blood.
C. An increase in the amount of triglycerides in the fetus's blood.
D. A decrease in the partial pressure of CO2 in the fetal blood.
","A,C"
"The concentration of which of the following hormones decreases according to the severity of placental insufficiency in fetuses with a reduction In intrauterine growth (IUGR?).
A. Corticotropin-releasing hormone.
B. Adrenocorticotropic hormone.
C. Osteocalcin.
D. Cortisol.
",C
"Which biochemical marker in the maternal blood is an indicator for predicting intrauterine growth restriction (IUGR)?
A. Decreased maternal alpha serum fetoprotein (MSAFP).
B. Decreased hCG levels.
C. Decreased pregnancy-associated plasma protein A (PAPP-A).
D. Elevated placental growth factor (PlGF).
",C
"A pregnant woman at 31 weeks of pregnancy is referred for evaluation due to fetal weight assessment in the 3rd percentile. What is the flow-Doppler index whose deterioration will determine making a decision to immediate deliver the newborn ?
A. Umbilical artery.
B. Ductus venosus.
C. Uterine artery.
D. Cerebral-Placental Ratio.
",B
"A pregnant woman at 33 weeks with unbalanced gestational diabetes is treated with insulin, threatening preterm delivery. What is the preferred tocolytic treatment?
A. B Adrenergic receptor agonists.
B. Magnesium sulfate.
C. COX inhibitors.
D. Calcium channel blockers.
",D
"A 30-year-old woman, pregnant for the second time at 25 weeks, arrived due to regular contractions every 4 minutes. The previous pregnancy ended in Premature birth at week 30.
Treatment with Betamethasone, magnesium sulfate, indomethacin, and penicillin was started. What could be the side-effect on this patient?
A. Oligohydramnios.
B. Hypoglycemia of the newborn.
C. Pulmonary hypertension of the newborn.
D. Persistent ductus arteriosus in the newborn.
",A
"What is the follow-up required for women diagnosed with macroadenoma during pregnancy?
A. Blood prolactin levels.
B. Visual field test.
C. MRI head.
D. CT head.
","A,B"
