question,answer
"A 30-year-old with moderately severe asthma comes to the emergency room with a presentation suitable for an asthma attack. She says she has been treated with Ventolin only as needed for the past two years. What treatment should she receive after completing the treatment for the acute attack? 
A. ICS+LABA inhaler.
B. LABA regularly by inhaler. 
C. LAMA regularly in the inhaler. 
D. Low-dose oral prednisone.

",A
"Which drug can cause kidney damage through the mechanism of Thrombotic Microangiopathy (TMA)?
A. NSAIDs.
B. Bevacizumab.
C. Gentamicin.
D. Trimethoprim-Sulfamethoxazole.
",B
"In which situation should beta blockers be avoided as part of the treatment of a 60-year-old with NSTEMI?
A. When the systolic blood pressure is 110 mmHg.
B. With a pulse of 66 beats per minute.
C. When the patient has pulmonary edema.
D. When there is an interstitial lung disease.
",C
"A 22 year old underwent a colonoscopy, due to diarrhea and rectal bleeding, and treatment with 5-ASA was recommended.
What is the possible side effect of the drug?
A. Pancreatitis.
B. Acute Tubular Necrosis.
C. Aphthous Stomatitis.
D. Reactivation of hepatitis B.
",A
"An 80 year old, comes to the ER due to confusion. On examination, blood pressure is 220/110 mmHg in the right hand and 100/60 mmHg in the left hand. What is the next immediate step in this situation?
A. Immediate lowering of systolic blood pressure below 120 mmHg.
B. Lowered blood pressure to 160/100 mmHg within two hours.
C. Performing brain CT.
D. Fundus examination.
",A
"What is true about the side effects of Azathioprine?
A. Pancreatitis is irreversible.
B. Leukopenia is idiosyncratic.
C. There is a genetic predisposition to the development of side effects.
D. Acute Interstitial Nephritis is a very common phenomenon.
",C
"A 60 years old with endocarditis on a native valve and growth of C. albicans in the blood, is receiving treatment with appropriate antibiotics. The patient has vegetation on a 7 mm aortic valve. Under adequate treatment, he is without fever. What is true about the indications for surgery in this patient?
A. This patient must be operated on within 24-48 hours.
B. Even if he responds well to treatment, this patient should be operated on.
C. There is no indication to operate on this patient if the cultures are sterile after 48 hours.
D. There is no indication to operate on this patient due to the size of the vegetation.
",B
"A 47 year old is diagnosed with polycythemia vera. In the laboratory: hemoglobin 19 g/dL, hematocrit 58%, Leukocytes 14,000 per cubic meter, platelets 670,000 per cubic meter, and uric acid 9.5 mg/dL. What is the treatment policy for this patient?
A. Keep the hemoglobin 15-16 g/dL.
B. Keep the hematocrit below 45%.
C. To start treatment with Anagrelide.
D. Start treatment with Allopurinol.
",B
"A 72 year old experiences with sepsis due to a urinary tract infection accompanied by acute kidney failure. In the laboratory: creatinine 2.5 mg/dL (base: 1 mg/dL) and BUN 70 mg/dL. His urine output during the first 6 hours of his hospitalization is 20 ml. His weight is 80 kg. What is his estimated GFR?
A. About 1 m/min.
B. About 20 ml per minute.
C. About 30 ml per minute.
D. About 40 ml per minute.
",A
"What is true about antibiotics in inflammatory bowel disease (IBD)?
A. Constitute the first line in the treatment of exacerbation of ulcerative colitis.
B. Constitute the first line in the treatment of Pouchitis.
C. Are not effective in the treatment of fistulous Crohn's disease.
D. Are not effective in the treatment of peri-anal Crohn's disease.
",B
"A 50-year-old diabetic was hospitalized due to fever and severe pain in her right leg. On examination there is low blood pressure,
and in the laboratory there are high inflammation markers and elevated CPK. Gram + cocci in blood cultures. What is the preferred antibiotic treatment?
A. IV Clindamycin + IV Penicillin.
B. IV Metronidazole + IV Penicillin.
C. IV Clindamycin + IV Amoxicillin-Clavulanate.
D. IV Azithromycin + IV Ceftriaxone.
",A
"What is true about the treatment of metabolic acidosis in chronic renal failure?
A. NaHCO3 should be treated only when the bicarbonate value is lower than 15 mAq/liter due to the high sodium content in the drug.
B. There is no need to treat acidosis because most patients in grade IV have acidosis with a normal anion gap.
C. Continuous chronic treatment with NaHCO3 may slow down the progression of kidney failure.
D. Treatment with KHCO3 is the treatment of choice for acidosis due to advanced renal failure.
",C
"A 77 year old has worsening shortness of breath, and a holosystolic murmur at the left sternal border on auscultation
Which increases during inhalation. What is the most likely valvular disorder?
A. Insufficiency of the tricuspid valve.
B. Mitral valve insufficiency.
C. Aortic valve stenosis.
D. Insufficiency of the pulmonary valve.
",A
"What is true about the risk of colon cancer in patients with ulcerative colitis (UC)?
A. The risk of development in patients with UC is twice that of the general population.
B. In patients with extensive and prolonged disease, a colonoscopy is recommended every 5 years.
C. Treatment with ASA-5 for more than 5 years increases the risk of cancer.
D. The presence of stricture does not predict colon cancer in patients with UC.
",A
"A 40 years old with Rheumatoid Arthritis, treated with Infliximab, is hospitalized due to fever, pain, swelling, and redness in the knee for several weeks. Knee puncture demonstrated a cloudy fluid, direct surface test for pathogens was negative, as was culture.
What is the correct approach in this case?
A. Send liquid to culture for fungi.
B. Send a synovium culture for mycobacteria.
C. Start treatment for gonococcal arthritis.
D. Inject corticosteroids into the knee.
",B
"A 39-year-old woman diagnosed with primary biliary cholangitis was hospitalized due to spontaneous peritonitis. In the hospital, a nosebleed appears, while in the laboratory PTT, 3.7 INR 64 seconds, factor VII level 20%, factor V 80%, and fibrinogen 280 mg/dL. What is the treatment of choice to correct the coagulation disorder in the patient?
A. Intravenous vitamin K.
B. Intravenous factor VIII concentrate.
C. Activated factor VII.
D. Activated prothrombin concentrate complex.
",A
"A 70-year-old woman with metabolic syndrome unwent catheterization with the opening of the LAD. So far, she has taken Atorvastatin at a dose of 10 mg per day. In the laboratory: HDL 38 mg/dl, LDL 150 mg/dl, and triglycerides 140 mg/dl. What would be recommended as treatment at this stage?
A. Increasing the dose of Atorvastatin to 80 mg.
B. Adding Bezafibrate 200 mg per day.
C. Replacing Atorvastatin with Ezetimibe.
D. Adding a PCSK9 inhibitor.
",A
"A 40-year-old woman complains about the swelling of her fingers and a cough for about six months and notes a change in the color of her fingers.
Hands exposed to cold turn white and then turn blue. What is the most important index for follow-up during the initial investigation of her illness?
A. Pulse.
B. Oxygen saturation.
C. Sugar values.
D. Blood Pressure.
",D
"What can cause peripheral jaundice?
A. Decreased cardiac output.
B. Pulmonary arteriovenous fistula.
C. Acquired methemoglobinemia.
D. Climbing to high altitude.
",A
"What is the accompanying phenomenon of secondary hyperparathyroidism in patients with chronic renal failure?
A. Adynamic bone disease.
B. Erythropoietin resistance.
C. Cardiac calcification.
D. Tumoral calcinosis.
","B,D"
"What is included in the calculation of the Child-Pugh Classification for cirrhosis?
A. Sodium level.
B. Fibrinogen level.
C. Bilirubin level.
D. PTT level.
",C
"What is the correct approach in suspected osteomyelitis of the spine?
A. The start of antibiotic treatment should not be delayed under any circumstances.
B. Surgical intervention is required mainly if the source is hematogenous spread.
C. The recommended duration of antibiotic treatment is 8-12 weeks.
D. It is possible to treat with oral medications while adjusting to the sensitivity profile.
",D
"Which drug has demonstrated superiority over others in reducing proteinuria in renal failure patients.
Chronic?
A. Amlodipine.
B. Tamsulosin.
C. Clonidine.
D. Verapamil.
",D
"In which of the following conditions may ""paradoxical splitting"" of the second heart sound be found?
A. Stenosis of the aortic valve.
B. Mitral valve stenosis.
C. Hypertrophic cardiomyopathy.
D. Diastolic dysfunction of the heart.
",A
"In which of the following situations would a liver biopsy be recommended?
A. Assessment of fibrosis in a patient with hepatitis C.
B. Assessment of disease severity in hepatitis B.
C. Evidence of fatty liver seen in US.
D. Suspected autoimmune hepatitis.
",D
"A young man complained of purulent diarrhea and abdominal pain during the past day, which appeared about two hours after eating in a restaurant, and he admits eating a suspicious potato salad the day before presentation. What is reasonable to assume about his condition? 
A. This is about ingesting enterotoxin in food from the restaurant. 
B. This is a Shigella infection from spoiled food. 
C. This is an E. coli O157:H7 infection. 
D. This is an infection with Bacillus cereus. 

",B
"What constitutes a good prognostic factor in a patient with IgA nephropathy?
A. Recurrent events of macrohematuria.
B. Male gender.
C. Older age at the time of diagnosis.
D. Biopsy findings consistent with RPGN.
",A
"What are the considerations regarding the treatment of fever and neutropenia (neutropenic fever) after chemotherapy treatment.?
A. Aminoglycoside monotherapy is an accepted treatment for fever and neutropenia.
B. Addition of an aminoglycoside plus a beta-lactam is the recommended treatment.
C. Empirical fluconazole should be given if an Aspergillus infection is suspected.
D. Quinolone prophylaxis in anticipation of prolonged neutropenia reduces mortality.
",D
"For how long after myocardial infarction my troponin levels may remain higher than normal in the presence of normal kidney function?
A. Up to 48 hours.
B. Up to four days.
C. 7-10 days.
D. 14 days.
",C
"A 70-year-old man with heart failure and COPD is hospitalized due to respiratory exacerbation and treated with inhalation therapy  and Azithromycin. currently, he has fever, tachycardia, low blood pressure, and noticeable diffuse tenderness on palpation of the abdomen.
What is true about the preferred treatment?
A. Oral Fidaxomicin.
B. Oral Vancomycin and Intravenous Metronidazole.
C. Oral Fidaxomicin and Intravenous Metronidazole.
D. A combination of oral and intravenous Vancomycin.
",B
"A 66-year-old woman has no history of smoking but has asthma. A chest x-ray was performed due to suspicion of inflammation in the lung. A lump was found in the left lung. What is the most likely histology of this tumor? 
A. Adenocarcinoma. 
B. Small Cell Carcinoma. 
C. Squamous Cell Carcinoma. 
D. Neuroendocrine tumor. 

",A
"According to the result of the urine albumin/creatinine ratio, who of the following has microalbuminuria?
A. 15 mg/mg.
B. 15 mg/g.
C. 45 mg/mg.
D. 45 mg/g.
",D
"What is the most common cause of SA node dysfunction?
A. Medicines.
B. Hypoxemia.
C. Hypothyroidism.
D. Hypothermia.
",A
"A 55 years old was hospitalized due to acute hepatitis. According to his wife, he has been drinking alcohol for many years daily, but the patient strongly denies it and claims that he drinks once a month. Which test combination will support the patient's statement? 
A. Bilirubin mg/dL 3, mg/dL ALT 175, AST mg/dL 350. 
B. Bilirubin mg/dL 4, mg/dL ALT 380, AST mg/dL 170. 
C. Bilirubin mg/dL 1.8, mg/dL ALT 5000, AST mg/dL 9000. 
D. Bilirubin mg/dL 8, mg/dL ALT 670, AST mg/dL normal level. 

",B
"A 60-year-old woman is being ventilated in the intensive care unit due to sepsis, and has a GI tube and a urinary catheter. In urine culture there is growth of Candida. What is true about Candida?
A. The presence of neutropenia will strengthen the decision to treat.
B. Candida overgrowth is rare.
C. Fluconazole is not a relevant treatment option.
D. It should be treated even if there are no symptoms at all.
",A
"In which kidney disease is steroid treatment beneficial?
A. Acute renal failure on the background of cholesterol emboli.
B. Focal segmental glomerulosclerosis on the background of hepatitis B.
C. Membranous interstitial nephritis on the background of lung malignancy.
D. Acute interstitial nephritis due to the use of PPI.
",D
"A 55-year-old man who was hospitalized due to STEMI underwent PCI within an hour, with a stent for the blocked artery without complications. Before discharge, when the patient is in good condition, he asks how soon it will be possible to return to regular sexual activity. What is your answer? 
A. After 6 months. 
B. After a week. 
C. After a month. 
D. After two months. 

",B
"Which of the following is the factor with the lowest frequency as a reason for the development of liver cirrhosis?
A. Hepatitis C.
B. Cardiac cirrhosis.
C. Hepatitis B.
D. Fatty liver.
",B
"A 30-year-old man complains of burning and discharge from the urethra for the first time in his life. He used to have intercourse  with a permanent partner. What is true about treatment?
A. A combination of Amoxicillin and Levofloxacin should be treated.
B. Doxycycline should also be included in the treatment for M. genitalium.
C. The treatment includes oral Azithromycin at a dose of 1,000 mg.
D. Azithromycin has no significance in the treatment of N. gonorrhoeae.
",C
"What is the renal damage that can be caused by both hypercalcemia and hypokalemia?
A. Decreased ability to concentrate urine.
B. Acute renal failure.
C. A decrease in the production capacity of ammonium.
D. RTA type II.
",A
"A 34-year-old man with HIV was diagnosed as suffering from PCP, and after 3 days of treatment with Trimethoprim Sulfamethoxazole he developed weakness and jaundice in the skin and conjunctiva. In the laboratory: hemoglobin 6 g/dL, MCV 96, platelets, and leukocytes are normal, Bilirubin 3.2 mg/dL, of which 0.5 is direct, the liver enzymes are normal, LDH 1,000. Blood smear is without cell fragments. Normal coagulation functions. The COOMBS test is negative.
What is the most likely diagnosis?
A. DIC as part of severe sepsis.
B. Autoimmune hemolytic anemia.
C. Microangiopathic hemolytic anemia.
D. Hemolytic anemia secondary to PD6G deficiency.
",D
"What is a possible side effect after successful treatment with adenosine in a patient with SVT?
A. Transient atrial fibrillation.
B. Hypotension.
C. Torsades de pointes.
D. Pericarditis.
",A
"A 40-year-old woman was admitted due to spasmodic abdominal pain. A CT stone protocol scan demonstrates an adrenal mass on the left side with a diameter of 1.3 cm and a density of 5 HU. On examination after analgesia, blood pressure was 105/70 mmHg and she had a regular pulse with 80 bpm. What is the next step in case management?
A. Synacthen test (ACTH).
B. Test for blood metanephrine levels.
C. Test for aldosterone and renin levels.
D. Test for hydroxyprogesterone 17 levels in the blood.
",B
"A 60-year-old woman with cirrhosis of the liver due to fatty liver was hospitalized due to fever, abdominal pain, and ascites. The blood sample showed leukocytosis and a paracentesis from the ascites showed 350 neutrophils per µL and culture from the liquid showed E. coli, Enterococcus and s. viridans. What is true about her condition? 
A. This is a typical culture for SBP. 
B. The albumin concentration in the ascites fluid is likely lower than one g/dL. 
C. The bacteria cultured from the liquid will most likely be cultured in the blood. 
D. Abdominal imaging is necessary as part of the investigation. 

",D
"A 30-year-old man with a BMI of 30 and a family history of gout was referred for the first time due to severe pain and swelling in the 1st MTP joint. In the laboratory: c1HBA, 6.6% LDL cholesterol 140 mg/dL, triglycerides 270 mg/dL. In addition. Uric acid 8.1 mg/dL, which he has had for several years. The current attack was treated with an NSAID in review. At 6 months follow up, there have been no further attacks, and the blood tests are stable. What is the recommendation now? 
A. Colchicine treatment. 
B. Appropriate diet and drinking a lot. 
C. Allopurinol treatment. 
D. If the patient has tophi, the treatment of choice is Probenecid. 

",B
"A 40 year old, who is generally healthy, is admitted due to fever, severe headache, and vomiting for two days. In his examination, the patient was confused with a purpuric rash on the limbs. In a lumbar puncture, 80 cells, most of them mononuclear, increased protein, and normal glucose were detected. What is true about his condition?
A. Prednisone should also be added to the treatment.
B. Prophylactic antibiotic treatment should be given immediately to the family members.
C. Doxycycline should also be added to the empiric treatment.
D. Aciclovir should be treated.
",C
"What is the treatment for obstructive sleep apnea?
A. CPAP with mouth and nose mask.
B. BiPAP with mouth and nose mask.
C. BiPAP with nasal mask only.
D. CPAP with mouth mask only.
",A
"What are the considerations for giving intravenous potassium?
A. The maximum intravenous rate is 40 mcg per hour.
B. It is better to treat through a jugular infusion when a central vein is required.
C. To correct from 2 to 4 mcg/liter, 400-800 mcg of potassium should be given.
D. The maximum concentration of potassium through a central vein is 10 meq/dL.
",C
"What is true about Chronic Myelogenous Leukemia (CML?).
A. Interferon treatment significantly improved the course and survival.
B. Acceptable first-line treatment is the administration of Tyrosine Kinase Inhibitors.
C. It is recommended to refer patients in remission from their disease to an allogeneic bone marrow transplant.
D. The long-term survival (8 years) of CML patients is about 40-20%.
",B
"Which of the tests does not diagnose myocardial ischemia?
A. CT calcium scoring.
B. CT coronary angiography.
C. PET.
D. Cardiac MRI.
","A,B"
"A 38-year-old woman was diagnosed with Graves' disease and was treated with Mercaptizol. Three weeks After starting the treatment, a temperature of 38.3ֲC was measured, and a sore throat appeared. Blood count showed leukocytosis with left shift deviation. Throat swab is positive for Streptococcus. Empirical treatment with penicillin was initiated. What. The therapeutic approach at this stage? 
A. Continue Mercaptizol simultaneously as antibiotics. 
B. Immediately suspend treatment with Mercaptizol. 
C. Add oral steroids. 
D. Change the Mercaptizol to PTU. 

",A
"What is true about the treatment of patients suffering from fatty liver disease (NAFLD)?
A. Metformin is recommended as a treatment for NAFLD.
B. NAFLD can be used after a liver transplant.
C. There is a contraindication to the treatment with statins.
D. Bariatric surgery reduces fibrosis.
",B
"A 50 year old woman with asthma presents with purpura, weakness in the right hand, and paraesthesia in the left leg. In the Blood: 5,000 Eosinophils in cubic millimeters. What is the test with the best ability to determine the prognosis?
A. CT chest in thin sections.
B. Nerve biopsy.
C. Echocardiography.
D. ANCA.
",C
"A 35-year-old woman, who had a kidney transplanted two months ago, was hospitalized due to fever and confusion. She has a known allergy to penicillin.
In lumbar puncture: 700 mononuclear cells, glucose 30 mg/dL (in blood 100 mg dL), high protein, and in blood smear:  gram positive rods. What is true about treatment?
A. Doxycycline IV should be added to the treatment.
B. Empirical coverage with ceftriaxone is sufficient in this case.
C. Dexamethasone treatment will improve the prognosis.
D. The treatment of choice is Sulfamethoxazole-Trimethoprim IV.
",D
"A 58 year old had a DVT event about 6 years ago that appeared after a flight. Now, they comes to the emergency room with a shortness of breath that started suddenly. On examination: 21 breaths per minute, pulse 110 regular, temperature 36.8, and oxygen saturation 95% in the chest x-ray a small amount of pleural fluid is noted at the right base. What is the best test for the diagnosis of PE? 
A. CT-angio. 
B. Echocardiography. 
C. Ventilation/perfusion scan. 
D. Check dimer-D and decide on imaging. 

",A
"What is the most likely etiology for hypokalemia in a patient whose blood potassium levels are 2.2 Maq/liter, sodium 140 maq/l, chlorine 114 maq/l, creatinine 1.2 mg/dL, and in the gas test pH 
7.25, bicarbonate 18 mq/l, 2PCO 33 mq/l. In the urine test: potassium 10 mAq/liter and creatinine 50 mg/dL?
A. Diarrhea.
B. RTA type 1.
C. Using variables.
D. Eating licorice.
","A,B"
"What could be the presentation of cardiac myxoma?
A. Ventricular ascending conduction block.
B. Aortic stenosis.
C. Right heart failure.
D. Intracardiac thrombus.
",D
"A 50-year-old man, known to have hepatitis C, comes to the ER due to bloody vomiting for the past day. In his examination, there is ascites, and in the lab tests, hemoglobin is 10 g/dL. Three large varicose veins were found in gastroscopy. What is true about Endoscopic variceal ligation? 
A. The development of an ulcer in the ligament area is common in half of the patients. 
B. Ligation is recommended for large bleeding varices in the fundus of the stomach. 
C. After tying the varicose veins, there is no need for further tying. 
D. Varicose vein ligation is effective in most patients as a treatment for active bleeding. 

",D
"What is the strategy to reduce urinary catheter-related infections (CAUTI?).
A. Intermittent catheterization in patients with spinal cord injury.
B. A silver-coated catheter is better than a regular catheter.
C. A Nitrofurazone-coated catheter is better than a regular catheter.
D. Supra pubic catheter is better than a permanent catheter in preventing bacteriuria.
",A
"All of the following patients, whose weight is the same, suffer from hyperkalemia with a blood potassium concentration of 5.8. Which of them has the lowest total body  potassium?
A. A patient suffering from oliguric renal failure.
B. A patient suffering from Addison's disease.
C. A patient suffering from IV type RTA.
D. A patient suffering from digoxin poisoning.
",D
"What is true about Hodgkin's lymphoma?
A. This lymphoma represents about 50% of all lymphomas.
B. Subdiaphragmatic lymphadenopathy is characteristic mainly in young women.
C. This lymphoma can present as erythema nodosum.
D. This lymphoma can present with hypocalcemia.
",C
"A 66-year-old man with hypertension underwent ablation about 3 months ago for the treatment of paroxysmal atrial fibrillation. He complains about shortness of breath and hemoptysis that have worsened since the procedure. What is the most likely diagnosis that will lead to this presentation?
A. Esophageal tear.
B. Pulmonary embolism.
C. Pulmonary valve stenosis.
D. Mitral valve stenosis.
","A,B,C,D"
"What is true regarding  GERD (Gastroesophageal Reflux Disease).
A. The most sensitive test for diagnosis is pH monitoring for 24 hours.
B. A normal gastroscopy rules out the possibility of GERD.
C. Proton Pump Inhibitor treatment is only recommended for people aged 50 and over.
D. Gastroscopic follow-up is designed to rule out the development of Lymphoma M.
",A
