question,answer
"A 50 year old, with at least 10 years known for peptic disease and recurrent duodenal ulcer despite optimal drug treatment is  hospitalized due to bleeding from the ulcer. Endoscopy to stop the bleeding was partially successful. The patient is stable, but his hemoglobin level is decreasing. During hospitalization, he received 7 doses of PC, 3 of which were in the past 24 hours. Surgical treatment was decided. What is the scope of the recommended surgery? 
A. Pyloroplasty, truncal vagotomy. 
B. Antrectomy, truncal vagotomy. 
C. Parietal cell vagotomy. 
D. Partial gastrectomy, Billroth-II reconstruction. 

",B
"A 50-year-old man was treated with angioembolization due to bleeding from a posterior duodenal ulcer. The radiologist writes that a blockage of the Inferior Pancreaticoduodenal Artery (IPDA) was performed.
In what order did the catheter pass from the aorta to the IPDA?
A. Celiac Trunk Lt Gastric Artery- Gastroepiploic Artery  IPDA.
B. Celiac Trunk Common Hepatic Artery Gastroduodenal Artery IPDA.
Third. Superior Mesenteric Artery Gastroepiploic Artery IPDA.
D. Celiac Trunk Splenic Artery Gastroepiploic Artery IPDA.
",B
"Which lymph nodes will be cut in D-2 gastrectomy in addition to those which are cut in a 1D gastrectomy?
A. Short gastric lymph nodes.
B. Middle colic lymph nodes.
C. Right paracardiac lymph nodes.
D. Proximal splenic lymph nodes.
",D
"According to the Forrest Classification, which of the following types of peptic ulcer is most likely to rebleed?
A. Non-bleeding visible vessel.
B. Adherent clot.
C. Flat pigmented spot.
D. Clean base ulcer.
",A
"In which type of stomach ulcer from the following is there usually excess secretion of acidity in the stomach?
A. Type 1.
B. Type 3.
C. Type 4.
D. Type 5.
",B
"A 44 year old underwent surgery in which an obstructing tumor was found in the region of the jejunum-allium junction. An oncological resection was performed. In the pathological evaluation, immunohistochemical staining appears to be positive for anoctamin-1, KIT. What type of tumor is this most likely? 
A. Carcinoid. 
B. Lymphoma. 
C. GIST. 
D. Hamartoma. 

",C
"A 36 year old, is undergoing HIPEC Cytoreduction Surgery due to Pseudomyxoma peritonei.
Which of the following is the most common chemotherapy drug used in HIPEC?
A. Cisplatin.
B. Mitomycin C.
C. Oxaliplatin.
D. Docetaxel.
",B
"Due to a herniated disc, pressure is created on the nerve roots of L5. In which of the sphincters is it possible to expect to see an injury?
A. Nobody.
B. In the internal sphincter.
C. In the external sphincter.
D. In both.
","A,B"
"A risk factor for anal squamous cell carcinoma?
A. HIV.
B. EBV.
C. CMV.
D. Rotavirus.
",A
"A 72 year old diabetic is sick for a week: high fever and uncontrolled diabetes. In the ER : redness and crepitations in the skin of the perineum. On examination, septic fever, leukocytosis and worsening of kidney functions. After fluid infusion and antibiotics - what is the next step?
A. Abdominal and pelvic CT.
B. Urgent surgery.
C. Opening an abscess in the ER.
D. Hospitalization in the surgical department for continued antibiotic treatment.
",B
"What does a positive push test mean for a patient with suspected NECROTIZING FASCIITIS?
A. Lack of muscle response to diathermy during perineal exploration.
B. Absence of bleeding during exploration of the perineum with a finger.
C. Ability to perform a dissection of subcutaneous tissue in the perineum area to a depth of 1 cm using.
Finger only.
D. The appearance of bleeding during exploration of the perineum with a finger, indicates the viability of the tissues.
",C
"A 74 year old patient is after hip joint replacement surgery that was complicated by paralytic ileus and evidence of CD
(Clostridium difficile infection) with bloody mucous stool. What is the recommended treatment for this patient?
A. IV Metronidazole 500 MG X 3/d + rectal Vancomycin.
B. Oral Vancomycin 500 MG X 3/d.
C. Oral Fidaxomicin 200MGX2/d.
D. Fecal microbiota transplantation.
",A
"A generally healthy 60 year old is hospitalized in the surgical department due to gangrene in the perineum. He underwent  urgent debridement in the operating room and continued intravenous antibiotic treatment for two weeks due to the growth of Clostridium septicum in the blood. What is the mandatory recommendation for this patient upon discharge?
A. Colonoscopy as soon as possible.
B. Completion of antibiotic treatment for one month.
C. Continue treatment with a home VAC.
D. Birohematological.
",A
"For a patient suffering from hypothermia, what are the pathognomonic changes in the ECG?
A. QRS segment widening.
B. Elevated J POINT.
C. Pointed T waves.
D. Inverted U waves.
",B
"One of the first signs of malignant hyperthermia is:
A. Spasm of the masseter muscle.
B. Arrhythmia.
C. Metabolic acidosis.
D. Fever.
",A
"What is the most common bacteria that causes surgical site infections (SSI)?
A. Pseudomonas aeruginosa.
B. Streptococcus.
C. Escherichia coli.
D. S. aureus.
",D
"A patient with a background of ischemic heart disease and hypertension is a candidate for elective major abdominal surgery.
Additional background: diabetes, hypertension, heavy smoking. What is expected to lower the rate of cardiovascular complications and perioperative mortality for this patient?
A. Quit smoking a week before surgery.
B. Discontinuation of drugs from the ACE inhibitor group the day before surgery.
C. Increasing the dose of beta-blockers (־²-blockers) the day before surgery.
D. Discontinuation of metformin treatment the day before surgery.
",B
"A female patient, after major abdominal surgery, has decreased urination. She weighs 60 kg. The amount of urine
In the urinometer 12 hours after surgery was CC 280. On laboratory: creatinine 1.7 (base 0.8). What degree of acute kidney injury is this?
A. Level 1.
B. Level 2.
C. Level 3.
D. Level 4.
",B
"A patient with borderline creatinine clearance (CCT) is a candidate for abdominal CT with intravenous contrast material.
Which means is considered the most effective for preventing acute kidney injury?
A. Acetylcysteine.
B. And vitamin C.
C. Change.
D. 0.9% IV NaCl.
",D
"3 weeks after ventral hernia repair surgery with mesh, during which the partial resection of the small intestine and anastomosis were performed, a patient comes to the emergency department with a clinical picture of intestinal obstruction. What is the most common reason?
For this finding?
A. Adhesions.
B. Leakage from the anastomosis site with the formation of a collection.
C. Internal hernia.
D. Edema in the anastomosis area.
",A
"A patient with a background of cirrhosis, who has undergone Abdominoperineal Resection, comes to the emergency department due to bleeding from parastomal medullas. On admission hemodynamically stable. A week ago, he was hospitalized due to the same problem, and ligation was performed. What is the most effective treatment for this complication?
A. Local adrenaline injection.
B. Religation of varicose veins.
C. Ablation of varicose veins.
D. TIPS.
",D
"In an examination of a patient who underwent Hartman urgent surgery, two days after the operation, a suspicion of ischemia of the stoma was raised. In his examination - a soft abdomen, but the necrotic area seems to involve only the mucosa. What is the recommended treatment?
A. Supervision.
B. Local excision of areas of necrosis.
C. The release of the skin from the mucosa.
D. Repeat laparotomy and revision of the stoma.
",A
"A 30 year old is usually healthy. He was referred to the ER after a car accident, with a seatbelt sign.
In TOTAL BODY CT.
He was diagnosed with multiple rib fractures, without other injuries. The patient is in great pain. What is the treatment?
The most suitable?
A. IV MORPHINE.
B. IV PETHIDINE.
C. Surgery to fix fractures.
D. Epidural anesthesia.
",D
"A 30 year old was brought to the emergency department after attempting suicide by hanging. Upon addmission they are unconscious, blood pressure is 
90/60, and heart rate is 40. The appropriate treatment will be based on?
A. Crystalloid fluids.
B. Vasopressure treatment.
C. Steroids.
D. Blood products.
","A,B"
"A 35 year old is 1 day after bariatric surgery. Decreases in saturation were observed with hypoxia. In the CT angio of the lungs: massive PE in the right pulmonary artery. The patient was admitted to the respiratory intensive care unit, anesthetized and ventilated, and treatment with IV heparin was initiated. Due to drops in blood pressure and tachycardia, the patient underwent an echocardiogram which demonstrated increased pulmonary pressure and right heart failure. The treatment will be based on?:
A. Crystalloid liquids and DOBUTAMINE.
B. NITROGLYCERIN AND NITROPRUSSIDE.
C. ASPIRIN AND NITROPRUSSIDE.
D. Crystalloid fluids and epinephrine.
",A
"A 50 year old with a background of  COPD is hospitalized after resection of the esophagus and thoracic esophagogastric anastomosis and was successfully extubated two weeks ago. Now they have pulmonary edema and hypoxia. What is the recommended treatment?
A. Connection to a BIPAP device.
B. Connection to a CPAP device.
C. Intubation and use of the SIMV method.
D. Intubation and use of the high-frequency FREQUENCY VENTILATION method.
",C
"A 72 year old with kidney failure is treated with dialysis. He was referred to the emergency room after being hit by a vehicle.
CT showed fractures in the pelvis, without active bleeding. Conservative treatment was decided. What anticoagulation therapy is recommended for this patient?
A. Anticoagulation should not be given to this patient.
B. Pneumatic socks.
C. Low molecular weight heparin.
D. Unfractionated heparin.
",D
"Due to uncontrolled fistula after DISTAL PANCREATECTOMY -  a patient is treated with TPN, sandostatin, and fasting.
After a week, a subfebrile fever appeared. Blood cultures, urine cultures, and cultures of fluid drained from the fistula are sterile. Despite treatment with IV Augmentin there is no clinical improvement. What is the recommended empiric treatment?
A. Fluconazole.
B. Vancomycin.
C. Steroids.
D. Septrin.
",A
"A 60 year old with cirrhosis of the liver - Child-Pugh score - B, suffers from ascites. Two weeks ago he was admitted to the intensive care unit after a stroke. During his hospitalization, several episodes of aspiration were observed. What is the appropriate method of feeding?
A. Feed by TPN.
B. Enteral feeding by PEG insertion.
C. Enteral feeding by Nasogastric tube.
D. Surgical gastrostomy.
","B,C"
"A 19-year-old soldier, suffering from a gunshot wound to the jaw only, is fully conscious with a saturation of 96%. When he arrives in the shock room, he vomits a lot of blood, and the saturation drops to 85%. Repeated intubation attempts fail due to the large amount of blood in the oral cavity. What is the next step to take?
A. Laryngeal mask airway.
B. Tracheostomy.
C. Videoscope-directed orotracheal intubation.
D. Cricothyroidotomy.
",D
"A 20 year old fell from scaffolding 6 meters high, and injured his head. He was sent to a shock room with an oxygen mask.
In the initial assessment, he opens his eyes in reaction to voice, pupils are equal and react to light, locates pain with his hand, and mumbles. Of all the characteristics that determine the GCS assessment, which is the best predictor of neurological recovery from the head injury?
A. Pupil reaction.
B. The motor position.
C. The murmur.
D. Opening the eyes.
",B
"A 40-year-old laborer fell from a crane at a height of 7 meters, injured his head and pelvis, was ventilated, and admitted to the ER. After a physical examination and full body CT, it was found that he suffered from a frontal cerebral contusion and pelvic fractures, but without blush. Before he was admitted he had a GCS of 6. After the introduction of ICP in the operating room, he is hospitalized for monitoring in the general intensive care unit.
In intensive care, 5 hours after he arrived the ICP measurements are rising and abnormal. Which of the following actions is not effective for initial treatment of this condition:
A. Lifting the head.
B. Cooling the patient.
C. Hyperventilation.
D. Administration of mannitol.
",B
"What were the conclusions of the CRASH-2 study regarding the use of the preparation tranexamic acid (hexapron)?
A. Increased the number of thrombotic events.
B. Lowered the use of blood units in elective surgeries.
C. Lowered overall mortality.
D. Reduced the need for surgery.
",C
"A 43 year old stabbed himself in a suicide attempt on the right side of the neck, to the right and below the cricoid. He was intubated in the field and a dressing was placed on the stab wound. In the emergency department, he is hemodynamically stable, and breathing well. On examination of the wound, active bleeding is seen from the wound with air bubbles rising from the puncture area. In a chest x-ray: an intubation tube is seen in place, with no findings in the lungs. After starting a large transfusion of blood, what should be done with the injured person?
A. Angioembolization to stop the bleeding.
B. Bronchoscopy and insertion of a stent into the trachea.
C. Tracheostomy in the operating room.
D. Exploratory in the neck.
",D
"A 20-year-old, who was riding a dirt bike, was hit in the neck by a strap that was tied between two trees. He was brought to the emergency room alert, with relaxed breathing, and impressive abrasion marks on his neck on the left. After a first review in the emergency department, he was taken for a neck CTA, where a GRADE 1 left common carotid contusion was found, with no other findings. What should be done with the injured?
A. Exploration in an operating room.
B. Angiography with a carotid stent.
C. Aspirin.
D. Supervision only.
",C
"One of the effects of exposure to smoke in a closed space is inhalation of HCN which exposes the body to cyanide. Which of the following does cyanide cause at the cellular level?
A. Reduces ATP levels.
B. Paradoxically lowers LACTIC ACID levels.
C. Impairs mitochondrial function.
D. Increases the aerobic respiration of the cell.
","A,C"
"What is the reason for postponing elective surgery for another 6 weeks in case of using Avastin.
(Bevacizumab).
A. Due to side effect of cardiomyopathy.
B. Due to side effect of arrhythmias.
C. Due to side effects of bleeding.
D. Due to side effects of hypercoagulability.
",C
"An 18 year old underwent excision of an ulcerative skin lesion and a biopsy revealed superficial spreading malignant melanoma. The penetration depth is 0.9 mm according to Breslow's scale. What is the treatment?
A. Wide excision with a margin of 0.5 cm.
B. Wide excision with a margin of 1 cm.
C. Wide excision with a margin of 1 cm + sentinel node biopsy.
D. Wide excision with a margin of 2 cm + sentinel node biopsy.
","B,C"
"Which infection agent was found to be associated with the development of Idiopathic thrombocytopenic purpura (ITP)?
A. Helicobacter pylori.
B. E. Coli.
C. Mycobacterium tuberculosis.
D. Neisseria meningitidis.
",A
"A 30-year-old woman underwent laparoscopic splenectomy due to ITP. A drain was left in the operation.
In POD-3, a white-yellow discharge appeared in the drain. Despite the drainage, there is a chronic discharge that does not diminish after two weeks. What would be the appropriate treatment for the current situation?
A. Adding fluconazole to the treatment.
B. Distal pancreatectomy.
C. Puestow pancreaticojejunostomy.
D. Endoscopic sphincterotomy.
",D
"After a long course in intensive care due to pancreatitis, a 35-week pregnant woman was found suffering from a complicated urinary tract infection by E. Coli bacteria with multiple resistances but sensitive to Gentamicin only. What is the risk of treatment with this drug?
A. Deafness of the newborn.
B. Premature closure of fetal cardiac vessels.
C. Coloring the baby's teeth.
D. Damage to the cartilage of the fetus.
",A
"A 32-year-old normally healthy woman, 12 weeks pregnant, goes to the clinic due to a prominent umbilical hernia that bothers her.
The umbilical hernia is slightly sensitive but not incarcerated and there have been no cases of incarceration in the past. At what time is it better to operate?
Her?
A. In the second trimester.
B. In the third trimester.
C. Two weeks after giving birth.
D. 8 weeks after birth.
",D
"A usually healthy 30 year old is 10 weeks pregnant and complaining of epigastric pain.  US was performed.
And then an MRI demonstrated a suitable image of a 3 cm adenoma of the left lobe of the liver. What would be the treatment recommendation?
A. Second-trimester surgery.
B. Surgery if there is evidence of bleeding.
C. Postpartum surgery.
D. Immediate surgery.
",A
"According to studies, which temporary abdominal closure technique in a patient after damage control will give the maximum chance for definitive abdominal closure in the future?
A. Closure of the skin only.
B. Bogota bag.
C. Vacuum-assisted closure.
D. Dressing with steridrape.
",C
"In the lateral region of the abdominal wall, in which layer is the nerves that innervate the abdominal wall?
A. Between the peritoneum and transversalis fascia.
B. Between the transversalis fascia and the transversus abdominis muscle.
C. Between the transversus abdominis muscle and the internal oblique muscle.
D. Between the internal oblique muscle and the external oblique muscle.
","C,D"
"A 45 year old is undergoing evaluation for abdominal swelling. Colonoscopy was found to be normal. Abdominal CT shows a large amount of non-clear fluid throughout the abdomen with small masses scattered throughout the abdomen. The appendix is enlarged up to 4 cm, with non-clear fluid inside and nodules on the wall. In the biopsy: mucin and atypical cells. What is the recommended treatment for the patient?
A. Best supportive care.
B. PARP inhibitors.
C. Cytoreductive surgery and HIPEC.
D. Neoadjuvant Chemotherapy.
",C
"A 54 year old has complained of back pain for 4 months. A CT was performed and then an MRI which demonstrated a retroperitoneal mass
with a diameter of 5 cm corresponding to RETROPERITONEAL FIBROSIS. Despite the proximity to the ureters, no expansion of the renal pelvis is visible. What is the initial treatment for the patient?
A. Aspirin treatment.
B. Insertion of a stent into the ureters.
C. Surgery to release the ureters.
D. Methotrexate treatment.
",B
"A female patient is scheduled for surgery to remove a lipoma in the abdominal wall. From previous surgeries, she knows she tends to develop keloids in surgical scars. What may prevent the development of a keloid after surgery?
A. Radiation treatment of the scar.
B. A tattoo of bleomycin in the scar area.
C. Injection of verapamil into the wound area.
D. Dressing with silicone.
",D
"Treatment with Hyperbaric Oxygen has been found to help heal a wound in several situations including ischemia of the wound.
What constitutes an absolute contraindication to this treatment?
A. Evidence of bacterial infection of the wound.
B. Diabetes.
C. Extensive burn of over 40%.
D. Therapeutic treatment with Doxorubicin.
",D
"The ultimate wound healing that does not leave a scar is fetal wound healing.
Which factor is found in high concentration in the wound of a fetus compared to the wound of an adult?
A. TGF־²1.
B. FGF.
C. IL10.
D. PDGF.
",C
"To which stage of the wound healing process does epithelial migration belong?
A. Inflammatory.
B. Proliferative.
C. Maturational.
D. Remodeling.
","A,B"
"Which of the following tumors is more common in FAP carriers?
A. Thyroid cancer.
B. Endometrial cancer.
C. Kidney cancer.
D. Breast cancer.
",A
"A 45-year-old was diagnosed with medullary thyroid cancer; in which situations should a chest/abdominal CT scan be performed to rule out distant metastases?
A. Calcitonin level above 500 pg/ml.
B. If there are enlarged lymph nodes in section 2.
C. Primary tumor over 4 cm.
D. CEA levels above 150.
",A
"In which cases is there an advantage in posterior retroperitoneal adrenalectomy?.
A. The patient with Cushing's syndrome needs bilateral adrenalectomy.
B. Left adrenalectomy for a patient with a BMI of 45.
C. Right adrenalectomy for a patient with 45 BMI.
D. A patient with a 7.0 cm pheochromocytoma.
",A
"A 56 year old with known Cushing's syndrome is one month after right adrenalectomy due to his disease. He was admitted to the intensive care unit due to severe pneumonia. The next day he has low blood pressure, severe abdominal pain, nausea, and vomiting. What is the preferred initial treatment?
A. Normal saline and intravenous hydrocortisone 100 mg.
B. Glucose solution and intravenous administration of Dexcort 4 mg.
C. Administration of U10 insulin and initiation of vasopressor therapy.
D. Antibiotic treatment also covers bacteria of the digestive system and initiation of norepinephrine.
",A
"Which nerve may be damaged during upper pole release during thyroid lobectomy?
A. External branch of superior laryngeal nerve.
B. Internal branch of superior laryngeal nerve.
C. Recurrent laryngeal nerve.
D. Non-recurrent laryngeal nerve.
",A
"A 52 year old with end-stage renal failure was diagnosed with secondary hyperparathyroidism. He was referred for surgery. In pre-surgery imaging, US, and mapping - there is no evidence of a parathyroid adenoma. In D4CT, two enlarged glands on the right were suspected. What is the preferred surgical option?
A. 3.5 Parathyroid gland resection together with thymus resection.
B. Excision of 2 enlarged glands described in imaging.
C. Bilateral cervical examination and excision of the glands that appear enlarged.
D. Excision of 4 parathyroid glands with cryopreservation.
",A
"What is the preferred initial treatment for amiodarone-induced thyrotoxicosis?
A. Methimazole.
B. PTU propylthiouracil.
C. Radioactive Iodine ablation.
D. Total thyroidectomy.
",A
"Which of the following would be an indication for surgery for a 70-year-old, asymptomatic, with a new diagnosis Primary hyperparathyroidism?
A. Compression fracture in 3L a year ago.
B. T SCORE in the femoral neck minus 2.1.
C. Calcium urine collection 350 mg/24 hours.
D. Thyroid cancer in her past.
",A
"Why is there a decrease in pulse pressure in initial shock?
A. Vasoconstriction causes higher diastolic pressures.
B. A decrease in cardiac activity causes lower systolic pressures.
C. The release of catecholamines causes an increase in systolic pressures.
D. An increase in heart rate causes an increase in diastolic pressure.
",A
"Which heart rate would indicate the best prognosis in a patient with arterial bleeding?
A. 50 beats per minute.
B. 70 beats per minute.
C. 100 beats per minute.
D. 120 beats per minute.
",B
"How is the modified shock index calculated?
A. Heart rate divided by PULSE PRESSURE.
B. Heart rate divided by diastolic blood pressure.
C. Heart rate divided by systolic blood pressure.
D. Heart rate divided by mean arterial blood pressure (MAP).
",D
"What is the body's first compensatory mechanism in response to a hypovolemic shock?
A. An increase in the secretion of catecholamines by the adrenal medulla.
B. Activation of the renin-angiotensin system by the kidneys.
C. Increase in sympathetic activity by baroreceptors in the aorta and carotids.
D. Increasing blood flow to vital organs by constricting peripheral blood vessels.
",C
"What is the most effective way to warm a wounded person during trauma?
A. Cover the patient with a heating blanket.
B. Administer warmed intravenous fluids.
C. Administering heated fluids into the pleural space.
D. Heating the room to 37 degrees.
",C
"What is the recommended method for correcting a coagulation problem in patients with congestive heart failure?
A. FFP.
B. PCC.
C. Whole blood.
D. Tranexamic Acid.
",B
"Which of the following contains blood with the highest oxygen content?
A. Inferior Vena Cava.
B. Superior Vena Cava.
C. Pulmonary artery.
D. Coronary sinus.
","A,B,C,D"
"In which of the following cases is a preoperative nutritional assessment necessary?
A. 70 year old man, BMI 19.
B. 54-year-old man, unplanned weight loss from 80 to 74 kg in the last year.
C. 35 year old woman, albumin levels 3.3.
D. A 57-year-old woman, a decrease in eating of 40% of the usual diet in the last week.
",A
"What is the imaging of choice for assessing body mass before surgery?
A. DXA mapping (Dual Emission X-ray Absorptiometry).
B. US muscles.
C. CT.
D. MRI.
",A
"A patient with severe inflammation of the pancreas, in shock, is being treated with amine drugs in the intensive care unit. What is the recommended nutritional administration?
A. TPN.
B. Nasogastric feeding.
C. Post pyloric nasogastric feeding.
D. Feeding Jejunostomy.
","A,C"
"Which of the following dietary recommendations is recommended for a critically ill hospitalized patient in intensive care?
A. Determine the amount of secretion in the nasogastric tube and calculate the volume of the oral economy according to this.
B. Start oral feeding within 24-48 hours and increase the amount up to the feeding goals within a week.
C. Immediate start of intravenous feeding.
D. Avoid administering prokinetic drugs in treating a patient in the intensive care unit.
",B
