question,answer
"A 25-year-old man came to the examination accompanied by a colleague from work. About two weeks he was attacked and robbed on the way home at knifepoint, but without physical harm. He complains of a decrease in concentration and difficulty in performing tasks at work, sudden dissociations, anxiety, and hot flashes with sweat when watching TV programs with violence. At night, he falls asleep after a glass of whiskey but still wakes up tired, jumps at any noise, and does not leave his house in the hours of darkness. What is the most likely diagnosis for him?
A. Posttraumatic Stress Disorder.
B. Generalized Anxiety Disorder.
C. Adjustment Disorder.
D. Acute Stress Disorder.
",D
"A patient complained that her mother is too involved and even intrusive in her life because she is constantly pestering her about every choice she makes. The therapist replied that the mother's excessive involvement can be seen as an expression of love, through which she tries to teach the daughter how to take care of herself in a way that will prepare her for an independent life without her having to experience mistakes similar to those the mother experienced in her life. What technique did the therapist use?
A. Clarification.
B. Reframing.
C. Confrontation.
D. Paradoxical treatment.
",B
"What disorder may be characterized by the astasia-abasia phenomenon?
A. Normal Pressure Hydrocephalus.
B. Conversion Disorder.
C. Dissociative Identity Disorder.
D. Alcohol Intoxication.
",B
"Which of the following is not part of the terms belonging to borderline personality organization according to Otto Kernberg?
A. Ego weakness.
B. Non-integrative superego.
C. Using segmentation and projective identification.
D. Separation anxiety.
",D
"A 28-year-old man is admitted for a manic episode and is being treated with lithium. He develops a coarse tremor. Which of the following drugs is more likely to worsen Lithium-Induced Postural Tremor?
A. Propranolol.
B. Caffeine.
C. Lorazepam.
D. Clozapine.
",B
"Which of the following is the least significant risk factor for the development of depression in the elderly?
A. Age itself.
B. Chronic disease.
C. Widowhood.
D. Low socioeconomic level.
",A
"Which of the following delusional disorders has a worse prognosis?
A. Somatic.
B. Erotomania.
C. Persecutory.
D. Grandiose.
",D
"A 30-year-old woman suffering from type 1 bipolar disorder is frequently admitted to a closed ward. Which characteristics are less critical in becoming a rapid cycler?
A. Being a woman.
B. Inheritance of Rapid cycling.
C. Depressive and hypomanic attacks in her past.
D. Discontinuation of lithium treatment.
",B
"What is characteristic of a convulsion due to alcohol withdrawal?
A. Does not require CT.
B. Often evolves into status.
C. It usually appears in epileptic patients who use alcohol.
D. Tony Clooney.
",D
"What did Freud mean by the term ""narcissism""?
A. Investing libido in ego.
B. Self-infatuation.
C. The pleasure principle.
D. Emotional cathexis.
",A
"Lack of which of the following will cause the triad of Delirium, Dementia, Diarrhea:
A. Cyanocobalamin.
B. Niacin.
C. Thiamin.
D. Ascorbic acid.
",B
"What is the symptom that appears in the vast majority of children with schizophrenia?
A. Delusions.
B. Hallucinations.
C. Flattened or mismatched effect.
D. Poor content of speech.
",C
"What is the most common comorbidity of kleptomania?
A. Delusional disorder.
B. Affective disorder.
C. Post-traumatic disorder.
D. Dissociative disorder.
",B
"Which of the following drug interactions is not typical of valproic acid?
A. Lowers blood diazepam level.
B. Increases tremors in combination with lithium.
C. Increases sedation in combination with antipsychotic drugs.
D. Lowers the level of phenytoin in the blood.
",A
"A 35-year-old man has been suffering from alcohol addiction for 10 years. He recently started expressing suicidal thoughts. What is the most significant factor in terms of suicidal risk in this patient?
A. Presence of a major depressive state.
B. Binge drinking.
C. Antisocial personality disorder.
D. Family pressure to detox from alcohol.
",A
"Which SSRI does not belong to the group of tricyclic antidepressants (TCAs)?
A. Nortriptyline.
B. Trazodone.
C. Doxepin.
D. Desipramine.
",B
"Which term is not included in Narrative psychotherapy?
A. Fabula.
B. Metaphor.
C. Plot.
D. Character.
",A
"What sign does not appear after taking LSD?
A. Mydriasis.
B. Aktisia.
C. Decreased tendon reflexes.
D. Lack of coordination.
",C
"What is the optimal initial treatment for a patient with panic attacks for the first time in his life?
A. Mirtazapine 7.5 mg + Lorazepam 1 mg.
B. Escitalopram 2.5 mg + Alprazolam 1 mg.
C. Paroxetine 20 mg + Quetiapine 25 mg .
D. Venlafaxine 37.5 mg + Mirtazapine 7.5 mg.
",B
"What is the level of disease severity for most patients diagnosed with developmental intellectual disabilities? (Intellectual disability).
A. Mild.
B. Moderate.
C. Severe.
D. Profound.
",A
"In which of the following neurological disorders is accompanying depression more common?
A. Multiple sclerosis.
B. Parkinson's disease.
C. Epilepsy.
D. Cerebrovascular disease.
",B
"Which of the following disorders is less common among patients admitted to a general hospital?
A. Depression.
B. Delirium.
C. Substance use disorder.
D. Brief psychotic disorder.
",D
"Which of the following is more likely than others to develop tardive dyskinesia?
A. A 70 year old woman treated with Perphenazine.
B.  A 22-year-old man who develops acute dystonia under Haloperidol.
C.  A 30 year old woman with schizophrenia and treated with Zuclopenthixol.
D. A 71 year old man treated with Ziprasidone.
",A
"Which of the following drugs acts as an SSRI?
A. Mirtazapine.
B. Vortioxetine.
C. Bupropion.
D. Reboxetine.
",B
"Which of the following signs would not help differentiate an epileptic seizure from a non-epileptic seizure (NES)?
A. The presence of a gag reflex after the convulsion.
B. Injury during the convulsion.
C. Loss of sphincters control during the convulsion.
D. An increase in the level of acetylcholine in the blood after the seizure.
",D
"Which of the following disorders is characterized by a lack of interest in social communication?
A. Paranoid personality disorder.
B. Schizoid personality disorder.
C. Psychosis characterized by persecutory thoughts.
D. Avoidant personality disorder.
",B
"What is Acceptance and Commitment Therapy based on?
A. Understanding that anxiety exists and looking at it non-judgmentally.
B. Trying to figure out what the source of the problem is.
C. Dealing with the existence of anxiety through exposure.
D. Acceptance and commitment to adhere to CBT treatments.
",A
"Which of the following drugs is not used as a weight loss treatment?
A. Metformin.
B. Topiramate.
C. Amphetamine.
D. Amantadine.
",D
"A 40 year old is suffering from tics and obsessive-compulsive disorder with only a partial response to treatment under SSRI's. Which of the following might be most effective for him?
A. Haloperidol.
B. Risperidone.
C. Chlorpromazine.
D. Mirtazapine.
",B
"Which OCD treatment for children and youth is not approved by the FDA?
A. Citalopram.
B. Fluvoxamine.
C. Clomipramine.
D. Sertraline.
",A
"Which of the following disorders is not part of formal thinking disorders?
A. Neologism.
B. Ineffability.
C. Clang Association.
D. Perseverance.
",B
"Which of the following physical symptoms is less common when using cannabis?
A. Increased appetite.
B. Tachycardia.
C. Dry mouth.
D. Increase in blood pressure.
",D
"Which of the following has not been shown to be effective in treating PTSD?
A. Paroxetine.
B. Prazosin.
C. Sertraline.
D. Lorazepam.
",D
"What does the concept of condensation describe, according to Freud?
A. Transferring an amount of energy from an object to a symbolic representation of an object.
B. A mixing of feelings that are transferred to expressing an imagined character.
C. Unconscious feelings or desires that combine into one character, which appears in sleep.
D. Transferring unwanted feelings to physical expression.
",C
"In which form of psychotherapy is the use of metaphors common?
A. Supportive.
B. Narrative.
C. Positive.
D. Cognitive.
",B
"Which of the following is not a prenatal risk factor for the development of autism in a newborn?
A. Maternal  old age.
B. Paternal  old age.
C. Gestational diabetes.
D. Third birth or more.
",D
"A34-year-old is getting a second opinion after a family doctor diagnosed her with panic attacks and started treatment with Citalopram about a week ago. She feels worse and asks for immediate help with an Alprazolam prescription because she heard that it helped her friend very quickly. What is the correct approach in the above case?
A. Take Alprazolam only as an SOS.
B. Take Alprazolam at the beginning of every day for symptom prevention.
C. Avoid giving Alprazolam at all costs because of addiction.
D. Increase Citalopram dose.
",B
"Which sign does not appear in stimulant poisoning?
A. Meiosis.
B. Tachycardia.
C. Increase in blood pressure.
D. Agitation.
",A
"Which of the following is a risk factor for Obstructive sleep apnea?
A. Female gender.
B. Low body weight.
C. Hyperactivity of the thyroid gland.
D. Middle age.
",D
"A 25-year-old was admitted to a psychiatric examination after he lost NIS 10,000 in the evening at the casino and refused to Stop betting while attacking the casino staff. He does not regret his behavior. Which diagnosis is less likely for him?
A. Gambling disorder.
B. Manic episode.
C. Intermittent explosive disorder.
D. Dissocial personality disorder.
",C
"A 27-year-old is hospitalized in a closed ward claims that the staff members are impersonators and that they change faces. Sometimes, he claims that the nurse is his mother, and sometimes, he claims that the head of the ward is his deceased uncle. What syndrome does the patient suffer from?
A. Capgras.
B. Double Personality.
C. Multiple personality.
D. Fregoli.
",A
"A 63-year-old man with a dominant right hand, who suffers from hypertension and hyperlipidemia comes to the neurological emergency room due to a sharp change in his condition. According to his wife, he suddenly became incoherent in his answers when asked about simple things, and his speech was incoherent. He is without dysarthria and is unable to follow simple commands. Head CT with contrast material shows a Lacunar infarct. What is the most likely location of the infarct in the brain of the Patient?
A. Right frontal.
B. Right occipital.
C. Left parietal.
D. Left temporal.
",D
"A 31-year-old man is admitted with acute psychotic mania, and is raging and violent. He adamantly refuses oral therapy. It was decided to calm him down by administering benzodiazepine intramuscularly. Which drugs from the following would be more suitable for rapid sedation?
A. Lorazepam.
B. Clonazepam.
C. Alprazolam.
D. Diazepam.
",A
"What is the composition of a special psychiatric committee?
A. A senior jurist and two psychiatrists on behalf of the state.
B. Retired judge, psychiatrist and criminologist.
C. Judge, Senior legal Advocate and Psychiatrist.
D. The deputy to the government adviser, psychiatrist and criminologist.
",B
"What is the correct technique in family therapy?
A. The therapist's avoidance of controlling what is happening.
B. Encouraging free associations between the couple.
C. Allowing them to lash out at each other.
D. Transparency of everything that happens.
",D
"Which drugs among the following is preferred as an adjunct to relieve withdrawal symptoms from benzodiazepines?
A. Carbamazepine.
B. Valproic acid.
C. Lamotrigine.
D. Topiramate.
","A,B"
"What is the recommended test for a child with several physical anomalies, developmental delay, and intellectual disability?
A. Level of ceruloplasmin in urine.
B. Prolactin level in the blood.
C. Chromosomal analysis.
D. Porphyrin in urine.
",C
"Which group of drugs shows more effectiveness in treatment-resistant PTSD?
A. ATYPICAL ANTIPSYCHOTICS.
B. SSRI's.
C. SNRI's.
D. ANTICONVULSANTS.
",A
"Which of the following drugs is more recommended for the treatment of delirium due to Parkinson's disease?
A. OLANZAPINE.
B. QUETIAPINE.
C. ARIPIPRAZOLE.
D. AMISULPRIDE.
",B
"Which of the following side effects characterizes lithium treatment?
A. Constipation.
B. The appearance of U waves in the ECG.
C. Change in protein metabolism.
D. A Decrease in the convulsion threshold.
",D
"According to which of the following is the degree of severity of intellectual-developmental disability determined according to the DSM-5.
A. The IQ score.
B. Adaptive functional capacity.
C. The anatomical location of the injury.
D. Presence of a chromosomal syndrome.
",B
"A 50-year-old alcoholic is admitted to the department, claiming that he used to work there and the head of the department is his childhood friend. What disorder is this?
A. Confabulation.
B. Pseudologia fantastica.
C. Pseudodementia.
D. Reminiscence.
",A
"In the rehabilitation department, the staff usually uses a token economy. What type of treatment does this method belong to?
A. Educational.
B. Behavioral.
C. Supportive.
D. Psychosocial.
",B
"Dopamine agonists are not used for which disorder?
A. NMS.
B. Parkinsonism.
C. Hyperprolactinemia.
D. Hypersexuality.
",D
"What is the name of a symptom that describes a denial of the disease?
A. Anosmia.
B. Anosognosia.
C. Apperception.
D. Asomatognosia.
",B
"Which of the following signs does not belong to Affective flattening?
A. Failure to make eye contact.
B. Monotonous voice.
C. Decreased spontaneous movements.
D. A neglected performance.
",D
"Which of the following scales is a projective scale?
A. Bender.
B. TAT..
C. MMPI.
D. Clock drawing.
",B
"A patient who started treatment with Lamotrigine two months ago complains of a rash. On his examination, you identified a new benign maculopapular rash. How should you act?
A. Treatment should be stopped immediately.
B. You should continue with the existing dose and ensure the rash is monitored by a dermatologist, which, in most cases, will not develop into Stevens-Johnson syndrome.
C. If the treatment has a positive effect, a quick skin biopsy can be performed to rule out Steven Johnson syndrome, and treatment can be continued if it is ruled out.
D. The dose should be reduced, even at the cost of clinical worsening, while adding a low dose of Valproic Acid.
",A
"What is required for the diagnosis of PTSD according to 5-DSM?
A. Only personal exposure to an event with traumatic potential such as the risk of death.
B. At least one intrusive symptom.
C. At least one symptom of a negative change in mood or cognition.
D. At least one symptom of a change in arousal.
",B
"A 58-year-old finds it difficult to get rid of her belongings when moving despite repeated requests from her husband, who claims that the house is filled with ""garbage no one needs"" such that there is no room to move around. She argues and claims that every item she has collected has value. What is the most likely spectrum of the disorder she suffers from?
A. The autistic.
B. The psychotic.
C. The traumatic.
D. The obsessive-compulsive.
",D
"A 40 year old senior manager who is married and a father of three is an adaptable and successful guy. In a meeting with friends, he claims that ""it is clear that there will be an economic crisis and our pensions will be wiped out."" What defense mechanism is he using?
A. Projection.
B. Humor.
C. Repression.
D. Anticipation.
",D
"What is the typical cognitive impairment in TRANSIENT GLOBAL AMNESIA?
A. Retrograde amnesia.
B. Confusion.
C. Anterograde amnesia.
D. Autobiographical amnesia.
",C
"Is it possible, and in what situation, to appeal an inspection order?
A. Only when it is a non-urgent test order.
B. When the request was referred by a social worker or by a doctor, who is not a psychiatrist.
C. When the person applies within 24 hours with a request to appeal to the district psychiatric committee.
D. An inspection order cannot be appealed at all.
",D
"What is the essential difference between a child suffering from a SOCIAL COMMUNICATION DISORDER and a child diagnosed with autism?
A. Absence of cognitive impairment in SCD.
B. Absence of recurrent symptoms and narrow interests in SCD.
C. Absence of functional impairment in SCD.
D. The absence of ADHD as a comorbidity in SCD.
",B
"Which of the following drugs does not belong to cholinesterase inhibitors?
A. Galantamine.
B. Rivastigmine.
C. Tacrine.
D. Memantine.
",D
"A 24 years old, who is currently neither studying nor working, was released from the IDF due to a medical profile 21 since he became passive, introverted, not interested in what was happening, and claimed that everyone was against him. He has not used drugs in the past. Last month, he became hyperactive, wasted money, and argued with people, claiming he was the most talented. He is admitted to a closed ward in an agitated state of mind, and is disorganized in his thoughts and behavior, fights and shouts that he is God on earth while hearing the voice of his deceased father. An effective reduction is evident. In laboratory tests - urine positive for THC (according to his mother, he smoked cannabis only once). Which is his most likely diagnoses?
A. Schizoaffective disorder.
B. Schizophrenia.
C. Cannabis-induced psychotic disorder.
D. Manic psychotic episode.
","A,B,C,D"
"Which of the following factors may serve as a protective factor against suicide in schizophrenia patients?
A. Secularism.
B. White ethnicity.
C. Having abstract thinking.
D. Negative signs are evident.
",D
"A 37 year old is hospitalized with consent in a closed ward for the first time in her life due to depressive complaints, accompanied by intentions to swallow pills with a suicidal purpose. Her history includes being raped, depression, anxiety, ADHD, a short psychotic manic attack, use of a variety of drugs, including cocaine, synthetic opiates, and even Ritalin, in addtion to repeated self-harm and suicidal thoughts. In the past, she was hospitalized in the ward for dual mental illness, where she was treated with a combination of Duloxetine, Amantadine, Propranolol, Trazodone, Valproic acid, Quetiapine, and Clotiapine. According to her and according to the record, she continued all the treatment except for Amantadine, plus Methylphenidate and Bupropion. On examination, she rules out suicide. Her affect seems much duller than depression. Her movements are slow and jerky. A tremor appears in the upper limbs. What is the most appropriate  next step?
A. Discontinuation of Clotiapine. ֿ.
B. Replacing Quetiapine with Risperidone.
C. Increasing the Propranolol dose.
D. Replacing valproic acid with lithium.
",A
"A 12-year-old boy has been suffering for several years from motor tics that come and go in the face and neck. A vocal single tic of clearing the throat has also been present for a year. What is his most likely diagnosis?
A. Persistent motor or vocal tic disorder.
B. Tourette's disorder.
C. Transient tic disorder.
D. Stereotypic movement disorder.
",B
"Who developed the concept of signal anxiety?
A. Pavlov.
B. Skinner.
C. Bowlby.
D. Freud.
",D
"At what stage according to Erikson does the midlife crisis develop?
A. Initiative vs Guilt.
B. Intimacy vs Isolation.
C. Integrity vs Despair.
D. Generativity vs. Stagnation.
",D
"Which of the following drugs is most likely to cause weight loss?
A. Topiramate.
B. Carbamazepine.
C. Valproic acid.
D. Lamotrigine.
",A
"In which group of patients is TMS safer?
A. Pregnant women.
B. Suffer from arrhythmias.
C. Suffer from low blood pressure.
D. Suffer from diabetes.
","A,B,C,D"
"A 35-year-old man with an acute manic psychotic attack is admitted to a closed ward, according to a forced and urgent hospitalization order. He is  uncooperative, violent, delusional, refuses treatment, and attacks staff members. Which drug from the following would be an initial treatment of choice to calm him down as quickly as possible? 
A. Olanzapine. 
B. Lamotrigine. 
C. Quetiapine. 
D. Valproic acid. 

",A
"According to the 'TADS', how is combining CBT with long-term medication more effective than medication alone, for youth suffering from major depression?
A. In anhedonia.
B. In the mood.
C. In reducing suicidal thoughts.
D. In reducing agitation.
",C
"A 42 year old has been suffering from bipolar disorder for years, which has not respond to any treatment except for lithium. She was in remission for two years without medication. She was admitted to the hospital in an acute manic state. With the resumption of lithium, she developed Diabetes Insipidus. Which of the following might help her?
A. Distribution of lithium administration 4 times a day.
B. Fluid restriction.
C. Avoidance of Thiazide administration.
D. Spironolactone administration.
",D
"Which of the following disorders is less likely to cause dementia?
A. Diabetic Ketoacidosis.
B. AIDS.
C. SLE.
D. Creutzfeldt-Jakob Disease.
",C
"A 30-year-old, with depression resistant to antidepressants, started taking thyroid hormones. Which side effect is it likely to develop?
A. Weight gain.
B. Constipation.
C. Sleepiness.
D. Sweating.
",D
"After a fatal car accident the offending driver rationally, and  without expression of emotion, tells the policeman about the turn of events. What defense mechanism does he use?
A. Acting out.
B. Isolation.
C. Undoing.
D. Projection.
",B
"Which of the following mood stabilizers is cardiotoxic?
A. Lamotrigine.
B. Carbamazepine..
C. Valproic Acid.
D. Lithium.
",D
"Which disorder is not an indication for B-blockers treatment?
A. Akathisia.
B. Tremor as a result of lithium use.
C. Tardive dyskinesia.
D. Anxiety.
",C
"Which of the following side effects is more common with Buspirone?
A. Headache.
B. Weight gain.
C. Sexual dysfunction.
D. Insomnia.
",A
"Which of the following is less sedative?
A. Desipramine.
B. Amitriptyline.
C. Doxepin.
D. Maprotiline.
",A
"Which of the following neuroleptic drugs is most likely to cause jaundice?
A. Perphenazine.
B. Chlorpromazine.
C. Risperidone.
D. Haloperidol.
",B
"What behavior is less typical of an impostor?
A. Evading military service.
B. Attempt to avoid criminal responsibility.
C. Need to feel sick.
D. Need for a place to live in.
",C
"Which temperament is more characteristic of sentimentality?
A. Persistence.
B. Reward dependence.
C. Novelty seeking.
D. Harm avoidance.
",B
"What is the IQ range that characterizes Borderline intellectual functioning?
A. 51-60.
B. 61-70.
C. 71-80.
D. 81-90.
",C
"Which of the following do not use barbiturates?
A. Electric shocks.
B. Narco Analysis.
C. Cramps.
D. Withdrawal from SSRIs.
",D
"A 28 year old suffering from epilepsy and resistant depression is treated with ECT.
Which of the following is more likely to occur after treatment?
A. Aggravation of epilepsy.
B. Upregulation in ־² receptors.
C. Increased blood flow in the brain.
D. Decreased brain metabolism.
",D
"What genetic syndrome is characterized by hard and compulsive biting of lips and fingers?
A. Adrenoleukodystrophy.
B. Lesch-Nyhan.
C. Maple Syrup.
D. Down syndrome.
",B
"What is not included in the principles of psychopharmacological treatment for the elderly?
A. Administering doses as low as possible.
B. Most drugs are given in equal distribution 3-4 times a day.
C. Liquid formulation is better in some cases.
D. Avoiding administering medications in the evening.
",D
"Which nervous system in laboratory animals was damaged by MDMA?
A. Serotonergic.
B. Glutamatergic.
C. Noradrenergic.
D. Dopaminergic.
",A
"A 16 year old was treated with fluoxetine due to a depressive episode and responded with complete remission. After how long is it recommended to stop the treatment?
A. Three months.
B. Six months.
C. One year.
D. Two years.
",C
"Who invented the term Persecutory Anxiety?
A. Eugen Bleurer.
B. Emil Kraepelin.
C. Kurt Schneider.
D. Melanie Klein.
",D
"Which psychiatric disorder is more common in cancer patients?
A. Adjustment disorderן¿¼.
B. Panic disorder.
C. Delirium.
D. Major depression.
",A
"Six weeks after being injured in a serious car accident, a 40 year old reports a drop in mood, difficulty falling asleep and concentrating, multiple somatic complaints, and nightmares. She has not returned to work since the accident. Which of the following is the most likely diagnosis?
A. PTSD.
B. Major depression.
C. Adjustment disorder.
D. Somatoform disorder.
",C
"Which side effect is less likely to be caused by VNS treatment?
A. Dyspnea.
B. Bradycardia.
C. Dysphonia.
D. EPS.
",D
"Which of the following is a symptom of inattention in ADHD?
A. Poor organizational ability.
B. Lots of chatter.
C. Tendency to interrupt other people's words.
D. Tendency to move arms and legs while sitting.
",A
"A 67-year-old turns to a sexologist with a request to prescribe him Sildenafil. What would not be a sign of caution before administering the drug?
A. Diabetes.
B. Hypertension.
C. Ischemic heart disease.
D. His older age.
",D
"According to Freud, the pleasure principle and the reality principle are aspects of the function of:
A. Super Ego.
B. Ego.
C. Subconscious.
D. Unaware.
",B
"Which of the following drugs is less suitable for the treatment of delirium due to its stimulating effect?
A. ZIPRASIDONE.
B. QUETIAPINE.
C. PALIPERIDONE.
D. PIMOZIDE.
",A
"In which of the following disorders are SSRI's and Clomipramine less effective?
A. Body Dysmorphic Disorder.
B. Excoriation Disorder.
C. Hoarding Disorder.
D. Obsessive-compulsive disorder.
",C
"Which of the following signs is included in Schneider's first-rank symptoms?
A. Avolition.
B. Audible thoughts.
C. Ambivalence.
D. Autism.
",B
"A 48-year-old patient has been treated for years in a clinic for mood disorders due to bipolar disorder. During the visit, he complains of dysphoria, lack of spontaneity, slow reactions and memory disturbance. Which of the following is least likely to cause this?
A. Giving lithium.
B. Depression.
C. Hypothyroidism.
D. Hypocalcemia.
",D
"A new intern is questioned by the department manager every morning due to flaws in the records of the follow-up and intake papers. At first, she reacts with tears and frustration and even considers leaving the profession, but she slowly improves and is no longer questioned  by the department manager. What technique does is the manager using when they stop questioning the intern? 
A. Negative reinforcement. 
B. Exposure. 
C. Disappointment. 
D. Punishment.
",A
"What is the main differential diagnosis of SOCIAL COMMUNICATION DISORDER?
A. CHILD ONSET FLUENCY DISORDER (STUTTERING).
B. EXPRESSIVE LANGUAGE DEFICIT.
C. RECEPTIVE LANGUAGE DEFICIT.
D. AUTISM SPECTRUM DISORDER.
",D
"Which term does not describe the repetition of the same words and phrases?
A. Logoclonia.
B. Perseverance.
C. Verbigeration.
D. Paraphasia.
",D
"What are the rules for preventing orthostatic hypotension with MAOI treatment?
A. Caffeine restriction.
B. Administering medication once a day.
C. Low salt diet.
D. Drinking restriction.
",A
"Which of the following drugs will cause more sexual dysfunction in a patient with an anxiety disorder?
A. Quetiapine.
B. Buspirone.
C. Reboxetine.
D. Mirtazapine.
",A
"Which of the following TCA's is least anticholinergic?
A. Imipramine.
B. Desipramine.
C. Nortriptyline.
D. Amitriptyline.
",B
"Which of the following is the least involved in anxiety disorders?
A. Serotonin.
B. Dopamine.
C. Acetylcholine.
D. GABA.
",C
