question,answer
"A 12-year-old was examined at the ER after an incident of syncope. The child is generally healthy, and an active athlete, without regular medication. Which of the additional data, if it appears in the anamnesis, will be a warning sign (""red flag"")? 
A. ECG performed in the emergency department measured 0.41 QTC. 
B. He had Kawasaki disease in the past. 
C. Before he lost consciousness he ""saw black"" and felt dizzy. 
D. Loss of consciousness appeared after prolonged standing. 

",B
"A 3-week-old boy, who was born after a normal pregnancy and was fed only breast milk, was examined due to prolonged neonatal jaundice since birth. In the anamnesis, pale stools and slow weight gain are noted, in laboratory tests:
Total bilirubin 9 mg/dl reference <1.2.
Direct bilirubin 3.5 mg/dl , reference < 0.2.
Abdominal ultrasound examination demonstrates a gallbladder. What is the probable diagnosis:
A. Jaundice of breastfeeding.
B. Fructosemia.
C. Biliary atresia.
D. Crigler-Najjar syndrome.
",C
"A 12-year-old suffering from asthma has IGE blood levels of 250 IU (normal level 0-100).
Prophylactic treatment with inhalers containing high-dose steroids was initiated. After 3 months he is still suffering from repeated shortness of breath attacks. His examination shows ""Moon facies"" and the rate of weight gain and growth in height are slow for his age. What is the next step in treatment?
A. Increasing the frequency of inhalations with B2-AGONISTS.
B. Nonsteroidal Antiinflammatory Agent + Long-Acting Inhaled Anticholinergic.
C. Leukotriene-Modifying agent.
D. Biological treatment with OMALIZUMAB.
",D
"A 12-year-old boy/boy comes to the clinic and declares that he doesn't feel like a male and demands that you address him as a female. The boy asks what the process is for changing his gender to female. In the conversation, you get the impression that he is very determined in his opinion and feels like a girl from a very young age. His mother, who came with him, confirms his feelings. In his examination - there is only pubic hair that is not frizzy. Testicles slightly enlarged. Which of the following is true about the steps in the process? 
A. Treatment with GnRH analogs can be started. 
B. Sex reassignment surgeries will only be done after the adolescent has lived according to the new gender for at least 4 years. 
C. Sex reassignment surgery should not be approved before the age of 20. 
D. You can proceed to surgery now. 

",A
"An 18 month old has been suffering from crying and restlessness for several days, especially when changing diapers, and difficulty moving from lying down to standing. In blood culture: preliminary report of growth of gram-negative coccobacillus. What is the recommended treatment for her probable illness?
A. Cefazolin.
B. Clindamycin.
C. Amoxicillin.
D. Amikacin.
",A
"A 4-year-old is referred for growth assessment. The parents are both tall. As a baby, she suffered from edema in her limbs which went away at the age of two days and she is known to have a bicuspid aortic valve. On examination - weight and height in the 10th percentile, without dysmorphism. What is the next step in diagnosis? 
A. Growth hormone stimulation test. 
B. Karyotype test. 
C. Sweat test. 
D. MR angiography. 

",B
"According to the clinical guideline, which of the following is the indication for brain imaging in children with headache?
A. 10 years old with a headache that changes in nature and worsens during physical activity.
B. 15 years old with headaches for several years and a family history of malignancies.
C. A 6.5-year-old boy with headache and nausea during long trips.
D. A child with headaches and a family history of a coagulopathy.
",A
"A 14-year-old who has been treated for a long time with a particular drug complains of headaches, vomiting, and lack of. Appetite. On examination: dry, peeling skin and a cut (""fissure"") in the corner of the mouth. What drug most likely caused his condition? 
A. Minocycline. 
B. Roaccutane. 
C. Growth hormone. 
D. GCSF. 

",B
"An 8-year-old was examined after, in the last month, he described people and sights that are not observed by others. In conversation with the boy, he sounds slow and confused. Which of the following is suspicious of a primary organic disease rather than a primary psychiatric one? 
A. Gender. 
B. The hallucinations of voices. 
C. The age of the child. 
D. Disorganized speech. 

",C
"An 8-year-old boy was brought to the emergency room unconscious, and on examination, his pulse was 50 per minute. What is the initial treatment required? 
A. Intravenous administration of epinephrine. 
B. Heart massage at a rate over 100 per minute. 
C. Securing an airway and providing oxygen. 
D. Intravenous administration of atropine at a minimum dose of 0.1 mg. 

",C
"A 12 year old, who is healthy so far, complains of muscle pain and dark urine for two days that started after the onset of fever, cough, and a runny nose. Creatine kinase (CPK) is 10,000 U/L (high) in a laboratory test. Previously normal CPK values. Normal muscle biopsy. No additional findings. What is the probable diagnosis? 
A. Glycogen storage disease type 1 (Von Gierke.). 
B. Short-chain acyl-CoA dehydrogenase deficiency (SCAD). 
C. Becker muscular dystrophy (BMD). 
D. CPT2 carnitine palmitoyl transferase 2 (CPT2). ",D
"A newborn was born at week 25 of pregnancy weighing 700 grams. On the fourth day of his life, there was an increased oxygen consumption and intubation was required. On examination: a 2/6 murmur was heard maximally between the shoulder blades, and the peripheral pulses were well palpated. The blood count is age-appropriate. What is the recommended treatment at this stage? 
A. Surgical ligation. 
B. Ibuprofen. 
C. Prostacyclin. 
D. Caffeine. 

",B
"A 6-month-old is exclusively breastfed until 4 months, and from about 2 months, he receives a supplement of dairy formula. The last two times, about two hours after he received dairy formula, vomiting began, followed by pallor, and after a few more hours, diarrhea with visible blood and mucus—a negative milk allergy skin test was conducted with a positive histamine control. No atopic background is known in the family. What is the most likely diagnosis? 
A. IgE-mediated milk allergy. 
B. Eosinophilic gastroenteropathy. 
C. Food protein-induced enterocolitis syndrome. 
D. Allergic proctocolitis-IgE mediated. 

",C
"A 15-year-old girl is being examined for joint pain and a rash. In the anamnesis note that she has been less active in the last year. On her examination: soft abdomen, no tenderness on palpation, palpable spleen 4 cm below the rib cage, liver not enlarged. The results of the blood tests are shown in the table. Hemoglobin 11.5 g/dl Reference 13.5 11.5. Platelets 120,000 103/ml Reference 350 150. WBC 4 * 103/ml Reference 15.5  5. Albumin 3 g/dl Reference 5.2 3.6. Total bilirubin 1.5 mg/dl Reference <1.5. Direct bilirubin 1.2 mg/dl Reference <0.2. GGT 120 Reference 5-24. Alk. phosphatase 300U/L Reference 100- 320. ALT 400 U/L Reference 10- 30 AST 300 U/L Reference 10- 35 INR. 1.3 U/L Reference 0.97 - 1.3. Abdominal ultrasound examination showed a non-enlarged liver, with a coarse and gritty texture and an enlarged spleen. What is the recommended first-line treatment for her probable illness? 
A. Infusion of IVIG. 
B. Oral cyclosporine. 
C. Performing plasmapheresis. 
D. Systemic steroids. 

",D
"A baby born on time, in a normal birth, begins on the second day of life to suffer from shortness of breath, and a decrease in oxygen levels in the blood. On examination: the heart sounds are weak on the left, the baby was treated with oxygen for a week and improved. What will it be possible to find in the child when he is 3 years old? 
A. High chance of finding clubbing in the fingers. 
B. Moist cough that started at a young age and still continues. 
C. Liver vascular congestion with gallstones. 
D. Many soft and smelly stools. 

",B
"A 3-day-old child is referred to the ER due to pallor, jaundice, and shortness of breath. He was born in a normal delivery at term after a normal pregnancy, including two scans that were concluded as normal. On his examination, the baby is breathing and pale, the capillary filling is slow, the heart sounds are regular, and there is a maximally short systolic murmur in the lower left border of the sternum in the space between the 3-4 ribs radiating to the back, the liver is not enlarged, and the femoral pulse is weakly felt, and delayed relative to the brachial pulse. In the laboratory tests: metabolic acidosis. What is the recommended initial treatment at this stage? 
A. Giving a bolus of 0.9% NaCl solution. 
B. Initiation of treatment with intravenous prostaglandin-E1. 
C. Starting treatment with Phosphodiesterase 3 inhibitor. 
D. Transfusion of packed red blood cells (PRBC). 

",B
"A 3-year-old was examined due to weakness and a general unwell feeling. The findings in the blood count: HB 8.8 g/dl reference range 10.5- 15. MCV 63 fl reference range 70-85. RDW 16.5% reference range 12-15. RBC 3.8 10^9/ml^3 reference range 4-5.2. Treatment appropriate for his likely illness was initiated, which of the following would be the first sign of a response to this treatment? 
A. An increase in the level of ferritin. 
B. A drop in heart rate to a normal range. 
C. An increase in the level of reticulocytes. 
D. Improvement in general feeling. 

",D
"A usually healthy two year old, is suffering from vomiting for several days and diarrhea multiple times per day for two days. On her examination, her pulse was 160/min, temperature 37 degrees Celsius, respiratory rate 45/min, and length in the 50th percentile, and she is apathetic, with dry mucous membranes. After administration of a Saline solution through the vein, urine with a specific gravity of 1030 is obtained with a ketone value of 3 + in the laboratory tests: Na+ 131 reference range 135-145. K+ 2.9 reference range 3.4- 4.7. CL 112 reference range 98-106. HCO3 12 reference range 22-26. Urea 50 reference range 10.8 -38.4. Creatinine 0.5 reference range 0.16 - 0.39. Ph 7.26 reference range 7.35 -7.45. What is the most likely diagnosis? 
A. Metabolic acidosis secondary to bicarbonate loss in diarrhea. 
B. Metabolic acidosis of tubular origin. 
C. Ketotic metabolic acidosis due to lack of eating. 
D. Metabolic acidosis secondary to acid loss in vomiting. 

",A
"5 days old was examined due to dozens of cases during the day of automatic sucking movements, irregular breathing, and twitching of the eyes, without rhythmic movements of the limbs, which lasted for about a minute. Between the events, the newborn looks healthy. What anamnestic detail would support the diagnosis of fifth day fits. 
A. Apgar 3 at the age of ten minutes. 
B. The mother drank alcohol while pregnant. 
C. A phenomenon similar to his father at this age. 
D. His brother is being treated with valproic acid. 

",C
"A 7-year-old who got sick a month ago with Corona (COVID-19) with mild symptoms is hospitalized for fever for the past 5 days, with diarrhea, shortness of breath with light exertion, and cold sweat when eating. On physical examination, a ""strawberry"" tongue and non suppurative conjunctivitis are noted. An echocardiogram shows a slight decrease in heart function. Treatment with IVIG at a dose of 2 grams per kg and an infusion of methylprednisolone at a dose of 2 mg per kg per day was started. Three days after the treatment, there is still no clinical improvement. What is the recommended treatment now? 
A. Repeat dose of IVIG. 
B. Aspirin 100 mg/kg/d. 
C. Anakinra (Kineret). 
D. High dose vitamin D. 

",C
"In which situations should the termination of growth hormone treatment be considered? 
A. When the bone age is 14 years for boys and 13 years for girls. 
B. In an isolated growth hormone deficiency, the growth rate is lower than 5 cm per year. 
C. Glucose intolerance, high blood values of hemoglobin A1C, and high blood glucose level. 
D. When the height of the child measured in the clinic exceeds the height of the father.",C
"Which of the following is the indication for giving a soy-based baby food solution? 
A. A month-old with bilateral cataracts, episodes of hypoglycemia, and sepsis with E. coli. 
B. One-week-old with bloody stools, apathy, and metabolic acidosis feeds on milk formula. 
C. A baby who underwent heart surgery and developed a chylothorax on the right. 
D. 6 months old, has been hospitalized for three days due to gastroenteritis. 

",A
"A 14-year-old known to suffer from anorexia nervosa (restrictive) is brought to the ER. Her condition worsened. Which of the following findings is the most disturbing? 
A. Significant changes in heart rate with changes in position. 
B. Two vomits a day. 
C. Secondary amenorrhea for about two months. 
D. She Continues reducing the food she consumes during the day. 

",A
"A 4 year old drowned in a public pool. The boy was taken out of the water without breathing but returned to breathing on his own after a minute of CPR. When he arrived at the emergency room, he was fully conscious, with a pulse of 110 beats per minute, blood pressure of 90/60 mm Hg, and saturation on room air at 99%. Physical and neurological examinations were normal. What is the next step in case management? 
A. Discharge after 8 hours of monitoring and normal physical examination. 
B. Hospitalization in the children's ward with mask oxygen treatment. 
C. Chest X-ray after 4 hours of drowning and treat accordingly. 
D. Upon his arrival, complete a chest x-ray and blood gas test; if they are normal, he can be released. 

",A
"A baby who was born at 41 weeks and needed aspiration of a lot of meconium from the respiratory tract at birth Develops hypoxemia at the age of 12 hours that does not respond to oxygen. After intubation and starting ventilation, there is still hypoxemia and hypercarbia. What is the next step in case management? 
A. Adding Nitric Oxide to the gas mixture. 
B. Intratracheal surfactant. 
C. Connection to ECMO. 
D. High-frequency ventilation. 

","A,B,C"
"An 11 month old is hospitalized due to pneumococcal meningitis. The medical background includes several ear infections and hospitalization at the age of 9 months for myositis due to an enterovirus. The baby is developing well, is vaccinated according to age, and has a normal family history. His physical examination is normal. Which of the following would help in the probable diagnosis? 
A. Performing a blood count to make sure there is no eosinophilia. 
B. Performing a DHR test on the question of Chronic Granulomatous Disease. 
C. Performing a flow cytometry test to check the percentage of B cells. 
D. There is no reason to perform further tests. 

",C
"A 13 years old, has been suffering for two months from 2-3 episodes of bloody diarrhea per day, weakness, and poor appetite, with no significant weight loss. On examination: thin, slight tenderness in the lower left quadrant of the abdomen. No mass was felt. The anus looks normal. In blood tests,  microcytic anemia is noted, inflammation markers - normal. General chemistry in the blood is within the normal range. Stool cultures for bacteria and parasites: negative. Abdominal ultrasound examination demonstrates thickening of the wall of the left colon. In colonoscopy: signs of inflammation in the left ascending colon throughout its length. In a biopsy from the large intestine: signs of active chronic inflammation without granulomas. What is the appropriate treatment for the probable disease? 
A. Oral treatment with 5ASA (Mesalamine). 
B. Intravenous administration of methylprednisolone (Solumedrol). 
C. Initial treatment with diet only with a special formula such as Modulan. 
D. Intravenous treatment with infliximab (Remicade). 

",A
"A child suffering from chronic lung disease is treated with inhalers of bronchodilators and steroids, oral pancreatic enzymes, and respiratory physiotherapy regularly. Recently, there has been a worsening of his condition, manifested by an increasing cough and difficulty in physical activity. In the laboratory tests: the level of eosinophils in the blood: 1500/mm (normal < 700), and the serum IgE level of IU/ml 2500 (normal range up to 100). There is no worsening in the chest x-ray compared to previous chest x-rays. What is the recommended treatment? 
A. Increasing the dose of oral enzymes and repeating the blood count after about a month. 
B. Intravenous antibiotics are effective against Pseudomonas-. 
C. Increasing the frequency of respiratory physiotherapy and inhalations with steroids. 
D. Systemic administration of steroids together with antifungal and anti-IGE treatment. 

",D
"A 9 year old has had a fever of 39C, weakness, and fatigue for 10 days. He was examined last week by a doctor in the community due to a fever of 38-38.5C and muscle and joint pain. He was diagnosed with a flu-like illness. In the medical background, the child is under medical follow-up by a cardiologist due to a murmur and ""a problem with one of the valves"". On examination: fever of 39.6C, Pulse of 145 beats per minute, respirations 38 per minute, blood pressure 102/56 mm Hg, and 98% saturation on room air. The child looks tired. On auscultation: systolic murmur on the upper right side of the sternum. What is the most common cause of the probable disease in children? 
A. Coxiella burnetii. 
B. Viridans group streptococci. 
C. Streptococcus pyogenes (group A strep). 
D. Staphylococcus epidermidis. 

",B
"A one-year-old girl came for medical checkups due to paleness. Her lab results are HB 9.7 g/dl, reference range 10.5- 14. MCV 58 fL reference range: 70 -85. RDW 12.5% reference range 12- 15. RBC 5.8 MIL/ml3 reference range: 4- 5.2. Treatment with oral iron was started. In a blood count after two months, the hemoglobin is unchanged. What is the most likely reason for the lack of response to treatment? 
A. Giving iron with food. 
B. Poor response to treatment. 
C. Incorrect diagnosis. 
D. Presence of celiac disease. 

",C
"A 5 week old is referred for medical examination due to lack of weight gain. The pregnancy and delivery were normal. Feeds by breastfeeding 7 times a day. On examination: weight 3.7 kg (at birth 3.3), length in the 25th percentile, head circumference in the 50th percentile, poor skin turgor, sunken fontanelles, normal male genitalia and testicles in the sac. In the laboratory:
Serum na 129 meq/L reference range 132-140.
Serum K 6 meq/L reference range 4.1- 5.3.
Serum CL 109 meq/L reference range 98- 106.
Plasma HCO3 15 meq/L reference range 22-26.
Serum 17 (OH) progesterone normal.
Serum aldosterone 2000 reference range: elevated.
Plasma renin 250 reference range elevated.
Urinary  Na/k ratio <1.
Urinary  CA/ creatinine 0.2 mg/ mg reference range : normal.
What is the most likely diagnosis?
A. Distal renal tubular acidosis.
B. Aldosterone synthase deficiency.
C. Salt losing congenital adrenal hyperplasia.
D. Pseudohypoaldosteronism.
",D
"A 12-year-old girl is being examined for high fever, headaches, multiple episodes of diarrhea, considerable restlessness and sleep disturbances for about a week: heart rate 159 per minute, blood pressure 140/90 mmHg, the skin is moist and there is a noticeable eye bulge. What might additionally be found during her probable illness?
A. Atopic dermatitis.
B. Leukemia.
C. Hemolytic anemia.
D. Vitiligo.
",D
"A two year old splashed washing liquid on himself and now his eyes are red and watery.
What is the recommended treatment at this stage?
A. Bring him to the nearest emergency room for treatment.
B. Washing the eyes with milk and an urgent PH test of the liquid.
C. Wash the eyes with running water for at least 30 minutes.
D. Local treatment with drops containing steroids and antihistamines.
",C
"In a medical examination, an 11-year-old is suffering from swelling in the knee joints, with signs of arthritis are found in both, as well as sensitivity and limitation of movement in the hip joints. In the laboratory tests: anemia (hemoglobin 9.5 g/dL) and increased inflammation indices (CRP 5.5 mg/dL). When JIA was suspected, treatment with the anti-TNF drug Etanercept was started. After about two months, the boy was again referred for examination due to abdominal pain for two weeks and the appearance of red nodules, sensitive to the touch, on his calves. What test could be aimed at diagnosing the child's most likely disease?
A. Genetic testing in the question of FMF.
B. Genetic testing for the presence of the HLA-B51 allele.
C. Testing the level of ANA in the blood.
D. Calprotectin test in stool.
",D
"What is true in the recommendations for diagnosing and geneticizing familial Mediterranean fever (FMF)? In children? 
A. A negative genetic test means that the child does not have FMF. 
B. Patients with a homozygous M694V mutation are at increased risk of developing more severe disease. 
C. There is no need to treat heterozygous patients (such as those in whom one mutation was found). 
D. Treatment for M694V heterozygous mutation should be initiated in asymptomatic subjects. 

",B
"A one year old girl has fever as high as 39 degrees for 3 days. After the fever subsides, a pink rash appears on the torso, it does not itch and disappears when pressed. What would be true about possible complications of her probable illness?
A. Convulsions are the most common complication and appear in about a third of cases.
B. In infection involving the CNS, a high incidence of long-term developmental disorders.
C. Myocarditis is the most common complication in bone marrow transplants.
D. Sensorineural deafness may develop during reactivation.
",A
"A 5-year-old suffers from nocturnal bedwetting without daytime bedwetting. The child slept a whole night without the need to get up to drink, his motor and cognitive development is normal, and bowel movements are normal. There are no abnormal findings on physical examination. In a urinalysis, the specific gravity is 1015, with no nitrites, blood, protein, or white cells. What is the recommended approach in this case? 
A. Kidney and bladder ultrasound. 
B. Fasting sugar test. 
C. Urine examination under a microscope. 
D. Relaxation and Continue to follow up. 

",D
"A 10 year old, has been suffering for the last six months from fears related to leaving his room, and he avoids social gatherings. In addition, there is an excessive preoccupation with disturbing thoughts. SSRI treatment was started. About three weeks later, he was brought to the clinic due to marked impulsivity and restlessness. What is the recommended treatment? 
A. Adding another antidepressant drug. 
B. Reducing the dose of the current drug. 
C. Starting antipsychotic medication. 
D. Initiate behavioral therapy. 

",B
"A two-year-old boy was found in his grandmother's house, and many medications were scattered around him. When he arrived at the emergency room, he was sleepy; his pulse was 60 beats per minute, his blood pressure was 65/45 mm Hg, and his glucose was 50 mg/dl in the glucometer test. An infusion was set up with glucose, the drugs the grandmother is being treated with include propranolol, amlodipine, clonidine, and metformin. What is the recommended treatment for his most probable disease? 
A. Intravenous glucagon. 
B. Intravenous Atropine. 
C. Subcutaneous Octreotide. 
D. Intravenous calcium gluconate. 

",A
"A two-month-old boy was examined due to apathy and difficulty eating. He was born at term weighing 3 kg. On examination: Weight 5 kg, tachycardia, a slight tremor of the limbs, liver amplitude is normal. In the laboratory: glucose level In the blood - 35 mg/dL, blood lactate level is normal, and no ketones in the urine test. What is the probable diagnosis? 
A. Hepatic glycogen storage disease. 
B. Hyperinsulinemia. 
C. Adrenal insufficiency. 
D. Urea cycle disorder. 

",B
"A month-and-a-half-old girl has been suffering from a bothersome cough for a week, accompanied by edema of the face and occasional vomiting without fever. At home she has a 7-year-old sister who has also been coughing for a long time. In her examination: she is alert, the pulse is 170 bpm, and auscultation to the lungs is normal. On the blood count there is lymphocytosis. What is true about the treatment required for her probable illness? 
A. Azithromycin is the drug of choice for all ages for both treatment and prevention. 
B. Vaccinated people who were exposed to the baby do not need prophylactic treatment. 
C. The disease requires airborne isolation until the end of 5 days of treatment. 
D. The main treatment is to shorten the disease duration and not prevent the spread. 

",A
"A 10-year-old was examined due to episodes of exertional syncope. His maternal grandfather died of cardiac arrest at the age of 40 years. on the ECG: the heart rate is 70 per minute, the QTc segment is 0.47 seconds, the PR segment is 0.16, and a QRS width of 0.1 milliseconds. What is the recommended treatment? 
A. Calcium channel blockers. 
B. Avoiding physical exertion. 
C. Beta-blockers. 
D. Implantation of a defibrillator (ICD). 

",C
"A 6-month-old was examined due to failure to thrive (FTT). There was only partial follow-up during pregnancy, and he was born without special events. In his background, he had an unknown fever related to “ears” and “teeth.” During his examination, weight is in the 5th percentile, height is below the 5th percentile, and a lump was palpable in the lower abdomen. During the test, a weak stream of urine was observed. In the Blood laboratory tests: Creatinine - 2.1 mg/dl, normal values 0.16 – 0.39. Urea - 12 g/dl, normal values 9.5 – 13. Plt - 250,000/uL, normal values - 150,000 – 450,000. In the urine laboratory tests: Protein +. WBC +. A thin catheter was inserted into the urinary bladder, and a cystography was performed which demonstrated grade 4 bilateral reflux, a urinary bladder with uneven walls, and the urethra not demonstrated. What is the recommended treatment? 
A. Giving a bolus of saline 20 ml/kg. 
B. Leaving the catheter in for several days. 
C. Surgical repair of reflux. 
D. Start preventive antibiotic treatment. 

",B
"Two weeks old, delivered  via cesarean section at term, weighing 4380 grams, is referred to the ER due to Involuntary hand movements.
Which serum test will help with the diagnosis?
A. Sodium.
B. Potassium.
C. Bicarbonate.
D. Calcium.
",D
"A 9-month-old boy has been suffering from recurring episodes of high fever accompanied by diarrhea in recent months which last 3-7 days.
The parents are healthy and of Dutch origin. A widespread macular rash is found on physical examination. Cervical lymphadenopathy is noted, and on examination of the pharynx - aphthae on the tongue. Which test will help establish the probable diagnosis?
A. For common mutations in the MEFV gene that encodes the pyrin protein.
B. HLA-B27 test.
C. Increased level of MEVALONATE in the urine that increased during an attack.
D. Test for the Cryopyrin protein level in the blood.
",C
"According to the clinical guidelines, Which of the following is recommended to be referred for a developmental assessment at the Child Development Institute? 
A. 5 years old, who has difficulty cutting and holding a pencil. 
B. 6 years old, who in the past suffered from bacterial meningitis. 
C. 7 years old, now diagnosed with learning disabilities. 
D. 5 years old, suffering from encopresis and anxiety disorder. 

",B
"A two-year-old was tested for suspected autism (ASD).
All of the following tests are essential in clarifying this problem except:
A. Hearing test.
B. Examining the skin with a Wood's lamp.
C. Echocardiography test.
D. Head circumference measurement.
",C
"According to the clinical guidelines:
In which cases of type 2 diabetes should insulin treatment be started?
A. Glycated hemoglobin level (A1C of 9.3%).
B. Headaches and a serum glucose level of 250 mg/dL.
C. Family history of microvascular complications.
D. BMI percentile above 99 for age and sex.
",A
"A 13 years old has been suffering for about a year from difficulty concentrating, low mood, difficulty sleeping at night, a lack of desire to do anything, and lack of appetite.
What is the most recommended treatment?
A. Parenting interventions.
B. Interpersonal Psychotherapy.
C. Stimulant Medication.
D. Lithium therapy.
",B
"A 16-year-old, with many behavioral disorders in the past, was found unconscious in the street in the morning, and next to him was an empty alcoholic beverage bottle. On arrival at the ER: he has fluctuating levels of consciousness When he wakes up, he reports that he does not see. Breathing: 30 per minute, heart rate 75 beats per minute, blood pressure 90/60, deep breathing; in the fundus examination: edema and congestion of the optic disc. Blood alcohol level at the upper limit of the norm. Additional blood tests are described: Glucose - 70 mg/dL, normal levels 60-100. Na - 139 meq/L, normal levels 135-145. K - 139 meq/L, normal levels 135-145. Cl - 100 meq/L, normal levels 98-106. HCO3 - 8 meq/L, normal levels 21-24. PH - 7.25, normal levels 7.35-7.45. What is the recommended treatment? 
A. Gastric lavage and activated charcoal. 
B. Peritoneal dialysis. 
C. Supervision in intensive care until ethanol levels decrease. 
D. Fomepizole. 

",D
"A one week-old boy, is suffering from vomiting and apathy. On examination he is weak and sleepy. The laboratory values are attached:
Ammonia - 300 mcg/dL, normal values 20-80.
PH - 7.1, normal values 7.35-7.45.
Sodium (Na) - 140 mMol/L, normal values 135-145.
Chloride (Cl) - 100 mMol/L, normal values 97-110.
Bicarbonate - 10 mMol/L, normal values 18-24.
What is the most likely diagnosis?
A. Organic acidity.
B. Disorder in the urea cycle.
C. Galactosemia.
D. Glycogen storage disease.
",A
